InventoryID,WarehouseID,ProductID,CurrentStock,ReorderPoint,SafetyStock
INV000106,WH002,SKU0031,4160,182,485
INV000107,WH002,SKU0022,1522,170,354
INV000108,WH002,SKU0067,556,791,491
INV000109,WH002,SKU0113,1926,513,111
INV000110,WH002,SKU0056,4666,352,346
INV000111,WH002,SKU0068,4870,140,367
INV000112,WH002,SKU0060,671,529,386
INV000113,WH002,SKU0120,4781,678,317
INV000114,WH002,SKU0070,2591,367,154
INV000115,WH002,SKU0094,2573,344,185
INV000116,WH002,SKU0017,3242,234,393
INV000117,WH002,SKU0111,2457,568,211
INV000118,WH002,SKU0002,594,109,284
INV000119,WH002,SKU0114,4612,202,87
INV000120,WH002,SKU0040,4404,318,309
INV000121,WH002,SKU0038,2172,235,228
INV000122,WH002,SKU0075,563,1000,175
INV000123,WH002,SKU0080,3027,391,130
INV000124,WH002,SKU0024,3589,953,328
INV000125,WH002,SKU0053,2478,726,463
INV000126,WH002,SKU0107,4333,108,391
INV000127,WH002,SKU0093,4543,406,389
INV000128,WH002,SKU0085,848,999,118
INV000129,WH002,SKU0008,2166,218,104
INV000130,WH002,SKU0074,4532,259,189
INV000131,WH002,SKU0054,2308,719,157
INV000132,WH002,SKU0096,2808,308,401
INV000133,WH002,SKU0119,2162,617,300
INV000134,WH002,SKU0076,2057,966,76
INV000135,WH002,SKU0102,756,749,266
INV000136,WH002,SKU0095,2266,145,51
INV000137,WH002,SKU0112,2732,889,116
INV000138,WH002,SKU0039,2145,265,429
INV000139,WH002,SKU0025,3619,664,411
INV000140,WH002,SKU0064,0,674,54
INV000141,WH002,SKU0055,916,177,403
INV000142,WH002,SKU0058,1221,658,68
INV000143,WH002,SKU0011,3024,696,332
INV000144,WH002,SKU0030,1213,540,115
INV000145,WH002,SKU0020,342,415,236
INV000146,WH002,SKU0084,326,466,157
INV000147,WH002,SKU0105,0,782,102
INV000148,WH002,SKU0100,2897,898,336
INV000149,WH002,SKU0115,3329,735,433
INV000150,WH002,SKU0006,1266,342,492
INV000151,WH002,SKU0057,1331,919,465
INV000152,WH002,SKU0109,1450,522,62
INV000153,WH002,SKU0045,0,854,220
INV000154,WH002,SKU0087,3372,921,392
INV000155,WH002,SKU0066,2032,373,131
INV000156,WH002,SKU0118,885,491,496
INV000157,WH002,SKU0059,0,979,290
INV000158,WH002,SKU0071,1822,304,468
INV000159,WH002,SKU0032,3770,458,206
INV000160,WH002,SKU0013,1864,328,62
INV000161,WH002,SKU0036,1582,508,218
INV000162,WH002,SKU0029,2282,985,85
INV000163,WH002,SKU0043,2286,459,378
INV000164,WH002,SKU0108,4173,509,397
INV000165,WH002,SKU0110,4392,439,64
INV000166,WH002,SKU0004,944,998,183
INV000167,WH002,SKU0052,1462,694,185
INV000168,WH002,SKU0063,313,211,355
INV000169,WH003,SKU0084,3559,453,423
INV000170,WH003,SKU0064,2569,546,360
INV000171,WH003,SKU0010,4189,218,247
INV000172,WH003,SKU0013,4723,294,180
INV000173,WH003,SKU0061,363,825,273
INV000174,WH003,SKU0094,13,632,462
INV000175,WH003,SKU0062,4410,803,418
INV000176,WH003,SKU0068,1614,472,270
INV000177,WH003,SKU0026,573,780,219
INV000178,WH003,SKU0043,2571,779,484
INV000179,WH003,SKU0065,0,837,203
INV000180,WH003,SKU0077,4154,416,391
INV000181,WH003,SKU0078,3345,434,256
INV000182,WH003,SKU0058,2422,667,115
INV000183,WH003,SKU0076,1571,530,390
INV000184,WH003,SKU0049,3105,793,433
INV000185,WH003,SKU0091,0,730,341
INV000186,WH003,SKU0006,2465,515,330
INV000187,WH003,SKU0051,0,411,196
INV000188,WH003,SKU0087,1721,540,452
INV000189,WH003,SKU0098,4751,721,385
INV000190,WH003,SKU0044,2639,576,276
INV000191,WH003,SKU0045,0,791,159
INV000192,WH003,SKU0053,4187,584,456
INV000193,WH003,SKU0075,1390,774,93
INV000194,WH003,SKU0119,2324,627,389
INV000195,WH003,SKU0005,2745,195,469
INV000196,WH003,SKU0088,1924,788,208
INV000197,WH003,SKU0015,1840,925,151
INV000198,WH003,SKU0028,1207,125,73
INV000199,WH003,SKU0102,2005,586,362
INV000200,WH003,SKU0117,596,566,262
INV000201,WH003,SKU0106,4715,299,417
INV000202,WH003,SKU0034,3145,606,254
INV000203,WH003,SKU0055,1998,251,385
INV000204,WH003,SKU0027,45,868,490
INV000205,WH003,SKU0047,873,897,267
INV000206,WH003,SKU0066,1792,280,461
INV000207,WH003,SKU0030,0,575,75
INV000208,WH003,SKU0056,4566,355,484
INV000209,WH003,SKU0022,994,567,118
INV000210,WH003,SKU0113,3806,783,321
INV000211,WH003,SKU0100,4578,709,212
INV000212,WH003,SKU0017,3625,727,467
INV000213,WH003,SKU0116,4135,536,475
INV000214,WH003,SKU0086,4488,556,131
INV000215,WH003,SKU0008,3888,560,182
INV000216,WH003,SKU0072,2025,960,376
INV000217,WH003,SKU0074,2271,884,448
INV000218,WH003,SKU0021,4270,596,370
INV000219,WH003,SKU0014,1959,381,275
INV000220,WH003,SKU0109,634,830,196
INV000221,WH003,SKU0004,1920,378,221
INV000222,WH003,SKU0079,2619,653,91
INV000223,WH003,SKU0105,1133,254,168
INV000224,WH003,SKU0041,3137,810,128
INV000225,WH003,SKU0085,0,165,262
INV000226,WH003,SKU0035,3339,438,327
INV000227,WH003,SKU0114,3816,525,81
INV000228,WH003,SKU0083,1694,952,265
INV000229,WH003,SKU0063,3190,888,349
INV000230,WH003,SKU0046,160,977,500
INV000231,WH003,SKU0018,4716,489,294
INV000232,WH003,SKU0029,48,460,202
INV000233,WH003,SKU0025,3194,973,477
INV000234,WH003,SKU0038,3432,651,432
INV000235,WH003,SKU0108,4473,919,358
INV000236,WH003,SKU0101,1806,599,162
INV000237,WH003,SKU0099,2235,546,298
INV000238,WH003,SKU0054,237,498,222
INV000239,WH003,SKU0024,3312,841,134
INV000240,WH003,SKU0103,3828,230,368
INV000241,WH003,SKU0111,4375,127,251
INV000242,WH003,SKU0081,4848,677,389
INV000243,WH003,SKU0104,222,185,379
INV000244,WH003,SKU0009,3511,238,493
INV000245,WH003,SKU0032,3782,286,75
INV000246,WH003,SKU0037,2131,488,217
INV000247,WH003,SKU0069,1733,565,217
INV000248,WH003,SKU0012,2764,879,500
INV000249,WH003,SKU0048,3105,384,435
INV000250,WH003,SKU0095,3453,358,477
INV000251,WH003,SKU0002,670,581,59
INV000252,WH003,SKU0060,4418,153,229
INV000253,WH004,SKU0072,1836,765,85
INV000254,WH004,SKU0102,329,872,65
INV000255,WH004,SKU0011,2025,304,479
INV000256,WH004,SKU0079,166,736,128
INV000257,WH004,SKU0092,0,229,292
INV000258,WH004,SKU0107,937,677,161
INV000259,WH004,SKU0083,3809,816,181
INV000260,WH004,SKU0038,3021,271,360
INV000261,WH004,SKU0073,4974,865,417
INV000262,WH004,SKU0078,938,896,469
INV000263,WH004,SKU0010,1341,418,105
INV000264,WH004,SKU0108,4740,126,209
INV000265,WH004,SKU0003,0,793,242
INV000266,WH004,SKU0119,3249,832,151
INV000267,WH004,SKU0031,622,706,403
INV000268,WH004,SKU0082,1989,204,406
INV000269,WH004,SKU0064,0,970,400
INV000270,WH004,SKU0087,4918,924,111
INV000271,WH004,SKU0034,4636,901,71
INV000272,WH004,SKU0112,2844,645,269
INV000273,WH004,SKU0070,3035,170,309
INV000274,WH004,SKU0056,2795,112,484
INV000275,WH004,SKU0059,3441,942,300
INV000276,WH004,SKU0068,864,543,235
INV000277,WH004,SKU0103,3766,824,128
INV000278,WH004,SKU0061,3567,280,425
INV000279,WH004,SKU0041,4274,766,188
INV000280,WH004,SKU0029,4408,893,297
INV000281,WH004,SKU0097,3808,546,472
INV000282,WH004,SKU0001,4853,374,215
INV000283,WH004,SKU0021,2011,950,94
INV000284,WH004,SKU0012,2284,561,174
INV000285,WH004,SKU0099,0,683,362
INV000286,WH004,SKU0117,3104,444,64
INV000287,WH004,SKU0085,4049,971,216
INV000288,WH004,SKU0116,1489,599,158
INV000289,WH004,SKU0028,2906,916,182
INV000290,WH004,SKU0055,0,386,500
INV000291,WH004,SKU0101,4883,818,500
INV000292,WH004,SKU0019,2263,669,55
INV000293,WH004,SKU0111,4232,295,93
INV000294,WH004,SKU0089,1977,837,258
INV000295,WH004,SKU0080,4002,668,438
INV000296,WH004,SKU0040,1968,807,293
INV000297,WH004,SKU0035,4020,558,455
INV000298,WH004,SKU0030,141,195,200
INV000299,WH004,SKU0075,1815,514,404
INV000300,WH004,SKU0084,0,413,389
INV000301,WH004,SKU0069,4764,477,292
INV000302,WH004,SKU0004,4534,643,226
INV000303,WH004,SKU0096,3485,863,331
INV000304,WH004,SKU0005,2709,460,409
INV000305,WH004,SKU0088,3717,377,206
INV000306,WH004,SKU0044,2059,336,111
INV000307,WH004,SKU0053,1577,423,111
INV000308,WH004,SKU0081,4389,880,403
INV000309,WH004,SKU0100,1516,296,160
INV000310,WH004,SKU0037,3966,383,420
INV000311,WH004,SKU0098,4829,878,318
INV000312,WH004,SKU0115,4888,389,101
INV000313,WH004,SKU0077,1590,403,166
INV000314,WH004,SKU0006,2956,283,204
INV000315,WH004,SKU0094,0,825,323
INV000316,WH004,SKU0052,1036,380,73
INV000317,WH004,SKU0049,446,666,199
INV000318,WH004,SKU0113,1034,753,494
INV000319,WH004,SKU0071,4021,205,496
INV000320,WH004,SKU0022,100,687,195
INV000321,WH004,SKU0062,3845,590,275
INV000322,WH004,SKU0074,2791,288,76
INV000323,WH004,SKU0114,2068,982,294
INV000324,WH004,SKU0091,934,941,83
INV000325,WH004,SKU0051,3282,603,87
INV000326,WH004,SKU0063,4726,744,401
INV000327,WH004,SKU0109,439,255,126
INV000328,WH004,SKU0105,4610,411,93
INV000329,WH004,SKU0015,2033,221,335
INV000330,WH004,SKU0076,3409,720,355
INV000331,WH004,SKU0014,0,894,317
INV000332,WH004,SKU0016,3116,561,276
INV000333,WH004,SKU0008,2435,980,351
INV000334,WH004,SKU0065,3512,412,341
INV000335,WH004,SKU0020,493,724,428
INV000336,WH004,SKU0045,812,881,156
INV000337,WH005,SKU0066,1728,370,388
INV000338,WH005,SKU0072,665,260,172
INV000339,WH005,SKU0106,1423,665,88
INV000340,WH005,SKU0057,1282,102,259
INV000341,WH005,SKU0006,3690,805,354
INV000342,WH005,SKU0047,3849,398,66
INV000343,WH005,SKU0074,1896,395,411
INV000344,WH005,SKU0015,2316,819,490
INV000345,WH005,SKU0096,3719,172,401
INV000346,WH005,SKU0049,1912,370,453
INV000347,WH005,SKU0014,4831,777,461
INV000348,WH005,SKU0073,1620,535,108
INV000349,WH005,SKU0022,4461,330,381
INV000350,WH005,SKU0099,1220,372,473
INV000351,WH005,SKU0028,1165,173,80
INV000352,WH005,SKU0111,1359,911,207
INV000353,WH005,SKU0020,4874,866,472
INV000354,WH005,SKU0071,4662,395,274
INV000355,WH005,SKU0091,0,579,402
INV000356,WH005,SKU0042,2491,816,256
INV000357,WH005,SKU0027,2230,612,326
INV000358,WH005,SKU0038,4045,548,91
INV000359,WH005,SKU0003,4899,140,271
INV000360,WH005,SKU0053,2640,718,178
INV000361,WH005,SKU0068,211,193,167
INV000362,WH005,SKU0031,4712,701,60
INV000363,WH005,SKU0059,2207,690,70
INV000364,WH005,SKU0075,1435,581,315
INV000365,WH005,SKU0005,3622,384,142
INV000366,WH005,SKU0030,4795,546,375
INV000367,WH005,SKU0060,4028,193,290
INV000368,WH005,SKU0109,2850,518,220
INV000369,WH005,SKU0087,0,786,103
INV000370,WH005,SKU0018,1317,437,260
INV000371,WH005,SKU0118,0,395,389
INV000372,WH005,SKU0064,3280,933,439
INV000373,WH005,SKU0119,4506,137,282
INV000374,WH005,SKU0009,721,422,179
INV000375,WH005,SKU0037,2648,218,445
INV000376,WH005,SKU0054,3311,985,313
INV000377,WH005,SKU0070,9,773,495
INV000378,WH005,SKU0021,4444,573,261
INV000379,WH005,SKU0025,444,292,315
INV000380,WH005,SKU0036,2963,737,437
INV000381,WH005,SKU0056,4083,740,276
INV000382,WH005,SKU0011,422,308,186
INV000383,WH005,SKU0045,4499,234,197
INV000384,WH005,SKU0092,3589,815,298
INV000385,WH005,SKU0007,994,129,372
INV000386,WH005,SKU0041,4987,918,172
INV000387,WH005,SKU0063,1297,418,332
INV000388,WH005,SKU0105,112,665,258
INV000389,WH005,SKU0055,763,330,480
INV000390,WH005,SKU0097,929,572,110
INV000391,WH005,SKU0098,1261,610,416
INV000392,WH005,SKU0093,2390,621,411
INV000393,WH005,SKU0008,2239,525,477
INV000394,WH005,SKU0026,3952,583,174
INV000395,WH005,SKU0017,3741,664,124
INV000396,WH005,SKU0104,3142,295,356
INV000397,WH005,SKU0082,4163,864,500
INV000398,WH005,SKU0083,1118,984,85
INV000399,WH005,SKU0078,2263,891,454
INV000400,WH005,SKU0079,3399,448,453
INV000401,WH005,SKU0088,4159,373,470
INV000402,WH005,SKU0046,21,389,421
INV000403,WH005,SKU0115,2445,957,350
INV000404,WH005,SKU0013,4750,775,300
INV000405,WH005,SKU0029,1217,557,325
INV000406,WH005,SKU0044,3967,453,220
INV000407,WH005,SKU0077,4521,881,328
INV000408,WH005,SKU0040,3090,566,214
INV000409,WH005,SKU0089,0,814,172
INV000410,WH005,SKU0065,4684,492,169
INV000411,WH005,SKU0067,3365,144,212
INV000412,WH005,SKU0086,3874,822,465
INV000413,WH005,SKU0043,3123,495,389
INV000414,WH005,SKU0051,1246,607,68
INV000415,WH005,SKU0061,1034,614,352
INV000416,WH005,SKU0081,2719,990,101
INV000417,WH005,SKU0107,3606,202,319
INV000418,WH005,SKU0035,3743,115,419
INV000419,WH005,SKU0050,1180,519,495
INV000420,WH005,SKU0012,1264,176,290
INV000421,WH006,SKU0034,2171,446,369
INV000422,WH006,SKU0026,3256,765,91
INV000423,WH006,SKU0030,2691,972,395
INV000424,WH006,SKU0051,4371,489,212
INV000425,WH006,SKU0107,3997,993,327
INV000426,WH006,SKU0090,0,732,85
INV000427,WH006,SKU0024,1923,746,400
INV000428,WH006,SKU0002,2354,332,432
INV000429,WH006,SKU0112,740,544,100
INV000430,WH006,SKU0094,823,554,135
INV000431,WH006,SKU0077,2453,129,73
INV000432,WH006,SKU0120,2657,915,78
INV000433,WH006,SKU0056,2403,467,241
INV000434,WH006,SKU0086,3528,249,175
INV000435,WH006,SKU0080,4351,521,339
INV000436,WH006,SKU0048,1475,274,139
INV000437,WH006,SKU0088,646,724,495
INV000438,WH006,SKU0047,3133,734,399
INV000439,WH006,SKU0072,0,609,348
INV000440,WH006,SKU0064,1172,337,286
INV000441,WH006,SKU0010,2080,570,180
INV000442,WH006,SKU0012,76,923,288
INV000443,WH006,SKU0092,2356,793,329
INV000444,WH006,SKU0117,1294,175,276
INV000445,WH006,SKU0091,2830,701,203
INV000446,WH006,SKU0079,3475,806,178
INV000447,WH006,SKU0052,3742,965,204
INV000448,WH006,SKU0022,0,493,486
INV000449,WH006,SKU0115,3958,209,171
INV000450,WH006,SKU0055,0,685,233
INV000451,WH006,SKU0098,4708,402,408
INV000452,WH006,SKU0015,2418,122,474
INV000453,WH006,SKU0108,3242,381,54
INV000454,WH006,SKU0101,4636,985,401
INV000455,WH006,SKU0060,401,720,431
INV000456,WH006,SKU0069,4069,952,196
INV000457,WH006,SKU0105,1885,721,460
INV000458,WH006,SKU0119,2886,324,375
INV000459,WH006,SKU0084,1557,735,178
INV000460,WH006,SKU0011,1120,743,99
INV000461,WH006,SKU0043,322,416,453
INV000462,WH006,SKU0116,3611,134,346
INV000463,WH006,SKU0021,2988,849,117
INV000464,WH006,SKU0032,738,402,217
INV000465,WH006,SKU0104,3403,279,152
INV000466,WH006,SKU0044,1082,905,326
INV000467,WH006,SKU0006,2997,643,306
INV000468,WH006,SKU0083,2232,950,134
INV000469,WH006,SKU0033,2105,944,296
INV000470,WH006,SKU0025,2417,864,495
INV000471,WH006,SKU0049,2774,923,108
INV000472,WH006,SKU0059,0,177,122
INV000473,WH006,SKU0081,1848,980,396
INV000474,WH006,SKU0003,3255,966,461
INV000475,WH006,SKU0001,4565,474,96
INV000476,WH006,SKU0068,3232,114,185
INV000477,WH006,SKU0041,4395,226,282
INV000478,WH006,SKU0082,3019,788,433
INV000479,WH006,SKU0063,2147,698,245
INV000480,WH006,SKU0020,3043,210,395
INV000481,WH006,SKU0097,1915,582,62
INV000482,WH006,SKU0062,4599,435,362
INV000483,WH006,SKU0028,1813,763,82
INV000484,WH006,SKU0089,3803,817,204
INV000485,WH006,SKU0103,3344,219,121
INV000486,WH006,SKU0078,371,138,205
INV000487,WH006,SKU0067,4035,218,99
INV000488,WH006,SKU0102,1923,650,119
INV000489,WH006,SKU0073,3183,564,239
INV000490,WH006,SKU0113,4425,529,350
INV000491,WH006,SKU0054,1265,524,385
INV000492,WH006,SKU0061,811,953,300
INV000493,WH006,SKU0019,3343,386,66
INV000494,WH006,SKU0031,3035,322,277
INV000495,WH006,SKU0070,3642,341,487
INV000496,WH006,SKU0036,2971,201,401
INV000497,WH006,SKU0004,3009,657,380
INV000498,WH006,SKU0045,2938,162,253
INV000499,WH006,SKU0071,2260,294,112
INV000500,WH006,SKU0096,3725,193,389
INV000501,WH006,SKU0065,1737,757,377
INV000502,WH006,SKU0008,4891,121,75
INV000503,WH006,SKU0038,2732,349,114
INV000504,WH006,SKU0037,4625,310,85
INV000505,WH007,SKU0115,4540,312,350
INV000506,WH007,SKU0038,1769,932,495
INV000507,WH007,SKU0007,1908,436,446
INV000508,WH007,SKU0109,1208,907,355
INV000509,WH007,SKU0089,23,383,489
INV000510,WH007,SKU0009,1185,233,326
INV000511,WH007,SKU0101,2053,917,139
INV000512,WH007,SKU0036,900,776,493
INV000513,WH007,SKU0041,211,234,57
INV000514,WH007,SKU0016,2934,908,453
INV000515,WH007,SKU0107,1949,702,215
INV000516,WH007,SKU0078,129,278,185
INV000517,WH007,SKU0060,429,229,429
INV000518,WH007,SKU0110,3448,638,108
INV000519,WH007,SKU0099,520,587,279
INV000520,WH007,SKU0058,2965,625,353
INV000521,WH007,SKU0022,893,562,307
INV000522,WH007,SKU0067,1814,729,72
INV000523,WH007,SKU0048,4271,408,284
INV000524,WH007,SKU0068,0,162,295
INV000525,WH007,SKU0087,3290,536,401
INV000526,WH007,SKU0120,884,602,414
INV000527,WH007,SKU0119,3633,175,91
INV000528,WH007,SKU0083,2638,722,125
INV000529,WH007,SKU0024,538,229,190
INV000530,WH007,SKU0052,4795,661,414
INV000531,WH007,SKU0079,2663,490,355
INV000532,WH007,SKU0102,4346,401,282
INV000533,WH007,SKU0020,4141,719,270
INV000534,WH007,SKU0057,812,912,409
INV000535,WH007,SKU0019,937,973,385
INV000536,WH007,SKU0088,4516,838,493
INV000537,WH007,SKU0043,1761,540,281
INV000538,WH007,SKU0108,1871,523,223
INV000539,WH007,SKU0094,3715,508,262
INV000540,WH007,SKU0042,778,420,268
INV000541,WH007,SKU0080,2560,781,180
INV000542,WH007,SKU0111,3066,256,401
INV000543,WH007,SKU0002,3885,168,96
INV000544,WH007,SKU0014,699,195,271
INV000545,WH007,SKU0081,791,862,428
INV000546,WH007,SKU0072,3052,931,116
INV000547,WH007,SKU0015,0,161,350
INV000548,WH007,SKU0074,4600,675,218
INV000549,WH007,SKU0071,1001,520,231
INV000550,WH007,SKU0103,3464,988,419
INV000551,WH007,SKU0098,421,394,357
INV000552,WH007,SKU0113,2559,460,103
INV000553,WH007,SKU0044,4734,619,158
INV000554,WH007,SKU0070,1267,772,296
INV000555,WH007,SKU0012,1837,967,105
INV000556,WH007,SKU0050,2868,965,334
INV000557,WH007,SKU0076,3011,217,440
INV000558,WH007,SKU0054,2282,687,165
INV000559,WH007,SKU0061,3515,965,337
INV000560,WH007,SKU0090,4560,126,361
INV000561,WH007,SKU0039,2190,129,142
INV000562,WH007,SKU0008,2238,819,440
INV000563,WH007,SKU0031,2531,447,229
INV000564,WH007,SKU0028,50,285,495
INV000565,WH007,SKU0034,1173,679,386
INV000566,WH007,SKU0032,3283,171,122
INV000567,WH007,SKU0040,251,193,432
INV000568,WH007,SKU0091,4345,320,242
INV000569,WH007,SKU0095,3439,564,224
INV000570,WH007,SKU0062,1289,478,209
INV000571,WH007,SKU0004,2657,895,340
INV000572,WH007,SKU0045,4884,186,76
INV000573,WH007,SKU0051,1274,261,436
INV000574,WH007,SKU0105,407,790,91
INV000575,WH007,SKU0116,2229,553,388
INV000576,WH007,SKU0037,3473,597,360
INV000577,WH007,SKU0075,3621,524,189
INV000578,WH007,SKU0023,1765,873,312
INV000579,WH007,SKU0053,932,453,270
INV000580,WH007,SKU0003,908,390,397
INV000581,WH007,SKU0097,4858,598,319
INV000582,WH007,SKU0104,2526,146,162
INV000583,WH007,SKU0106,3237,713,78
INV000584,WH007,SKU0055,62,309,204
INV000585,WH007,SKU0021,1730,885,120
INV000586,WH007,SKU0001,2093,396,217
INV000587,WH007,SKU0096,982,107,304
INV000588,WH007,SKU0112,3527,279,116
INV000589,WH008,SKU0011,3114,645,410
INV000590,WH008,SKU0071,1885,612,336
INV000591,WH008,SKU0119,2901,173,253
INV000592,WH008,SKU0110,346,546,59
INV000593,WH008,SKU0114,0,179,491
INV000594,WH008,SKU0097,2564,689,269
INV000595,WH008,SKU0094,4697,514,413
INV000596,WH008,SKU0087,0,396,108
INV000597,WH008,SKU0006,3318,121,216
INV000598,WH008,SKU0084,1407,920,366
INV000599,WH008,SKU0029,0,951,403
INV000600,WH008,SKU0077,2964,190,273
INV000601,WH008,SKU0081,867,349,273
INV000602,WH008,SKU0083,4824,510,318
INV000603,WH008,SKU0101,644,505,495
INV000604,WH008,SKU0098,2541,863,223
INV000605,WH008,SKU0066,1815,441,448
INV000606,WH008,SKU0030,1377,178,311
INV000607,WH008,SKU0054,934,643,311
INV000608,WH008,SKU0090,1588,894,228
INV000609,WH008,SKU0053,2876,844,469
INV000610,WH008,SKU0041,1209,341,102
INV000611,WH008,SKU0044,1199,362,151
INV000612,WH008,SKU0031,1421,716,128
INV000613,WH008,SKU0009,617,281,445
INV000614,WH008,SKU0113,4047,575,436
INV000615,WH008,SKU0039,4618,878,346
INV000616,WH008,SKU0106,3677,797,339
INV000617,WH008,SKU0033,2647,984,371
INV000618,WH008,SKU0020,2589,254,275
INV000619,WH008,SKU0013,559,580,276
INV000620,WH008,SKU0068,2480,915,190
INV000621,WH008,SKU0040,4844,157,230
INV000622,WH008,SKU0065,4156,175,208
INV000623,WH008,SKU0086,3782,562,69
INV000624,WH008,SKU0017,466,477,475
INV000625,WH008,SKU0010,2351,178,380
INV000626,WH008,SKU0058,739,729,354
INV000627,WH008,SKU0037,4153,493,286
INV000628,WH008,SKU0107,4754,667,455
INV000629,WH008,SKU0064,336,560,464
INV000630,WH008,SKU0035,4683,767,146
INV000631,WH008,SKU0038,2633,719,293
INV000632,WH008,SKU0018,4107,254,81
INV000633,WH008,SKU0120,3690,205,465
INV000634,WH008,SKU0091,2813,831,93
INV000635,WH008,SKU0057,4133,761,138
INV000636,WH008,SKU0072,320,353,412
INV000637,WH008,SKU0003,3586,549,318
INV000638,WH008,SKU0007,4282,724,131
INV000639,WH008,SKU0062,2981,481,194
