PurchaseOrderID,PODate,SupplierID,ProductID,Quantity,UnitCost,Status,ExpectedDeliveryDate
PO0000068,2023-05-07,SUP010,SKU0107,892,509.23,Received,2023-05-29
PO0000069,2025-04-27,SUP049,SKU0054,4931,434.94,Approved,2025-05-22
PO0000070,2025-03-03,SUP034,SKU0100,3529,369.49,Delayed,2025-03-23
PO0000071,2025-08-30,SUP037,SKU0027,2030,262.24,Approved,2025-09-04
PO0000072,2025-03-19,SUP046,SKU0015,384,373.69,In Transit,2025-04-29
PO0000073,2023-10-29,SUP008,SKU0082,3778,92.36,Ordered,2023-11-25
PO0000074,2024-03-09,SUP013,SKU0032,1133,378.2,Approved,2024-04-19
PO0000075,2025-06-10,SUP013,SKU0082,1311,105.43,Received,2025-07-21
PO0000076,2024-10-16,SUP047,SKU0032,648,381.89,In Transit,2024-10-29
PO0000077,2025-03-24,SUP036,SKU0060,2771,411.64,In Transit,2025-04-20
PO0000078,2025-07-27,SUP001,SKU0097,4913,517.71,Received,2025-08-10
PO0000079,2023-08-19,SUP027,SKU0042,1325,13.94,In Transit,2023-08-28
PO0000080,2023-07-25,SUP007,SKU0111,4709,353.63,Received,2023-08-07
PO0000081,2026-01-01,SUP023,SKU0115,3466,190.33,Delayed,2026-02-01
PO0000082,2025-09-21,SUP037,SKU0095,3975,174.15,Received,2025-09-26
PO0000083,2025-04-05,SUP010,SKU0095,3390,174.2,Received,2025-04-27
PO0000084,2024-05-01,SUP004,SKU0011,3992,282.79,Received,2024-05-11
PO0000085,2023-02-11,SUP022,SKU0069,2582,214.06,Received,2023-03-14
PO0000086,2023-07-21,SUP015,SKU0006,1200,329.87,Delayed,2023-08-31
PO0000087,2025-06-26,SUP050,SKU0089,2728,368.16,Received,2025-07-15
PO0000088,2023-07-02,SUP013,SKU0017,3718,553.69,Received,2023-08-12
PO0000089,2025-09-19,SUP049,SKU0036,4331,456.4,Approved,2025-10-14
PO0000090,2025-11-21,SUP011,SKU0025,637,11.03,In Transit,2025-11-27
PO0000091,2025-04-06,SUP009,SKU0092,4394,159.05,Approved,2025-04-27
PO0000092,2023-12-22,SUP013,SKU0003,1744,44.44,Ordered,2024-02-01
PO0000093,2023-03-09,SUP030,SKU0079,514,15.93,Delayed,2023-04-01
PO0000094,2024-02-12,SUP018,SKU0025,3117,12.2,In Transit,2024-02-17
PO0000095,2025-03-23,SUP041,SKU0010,1114,35.8,Ordered,2025-04-02
PO0000096,2025-02-01,SUP032,SKU0114,4966,289.85,Received,2025-03-15
PO0000097,2024-12-17,SUP023,SKU0105,1439,417.54,Received,2025-01-17
PO0000098,2023-07-05,SUP019,SKU0042,324,14.66,Ordered,2023-07-10
PO0000099,2024-03-14,SUP015,SKU0037,1944,373.07,Received,2024-04-24
PO0000100,2025-04-18,SUP033,SKU0098,264,235.93,Delayed,2025-05-05
PO0000101,2023-01-19,SUP031,SKU0055,1183,169.54,In Transit,2023-03-04
PO0000102,2023-01-18,SUP015,SKU0051,2167,311.35,Received,2023-02-28
PO0000103,2024-07-17,SUP028,SKU0018,3184,552.53,Received,2024-08-10
PO0000104,2024-05-31,SUP014,SKU0076,3923,220.86,In Transit,2024-07-07
PO0000105,2025-03-24,SUP038,SKU0024,938,378.51,Delayed,2025-04-17
PO0000106,2025-02-05,SUP036,SKU0065,4964,325.52,Received,2025-03-04
PO0000107,2023-08-10,SUP031,SKU0047,622,352.08,Received,2023-09-23
PO0000108,2024-10-27,SUP018,SKU0033,2239,543.65,Delayed,2024-11-01
PO0000109,2024-09-03,SUP013,SKU0098,1328,220.65,Ordered,2024-10-14
PO0000110,2023-04-27,SUP039,SKU0044,3410,533.99,Delayed,2023-05-17
PO0000111,2023-10-14,SUP047,SKU0057,308,437.25,Received,2023-10-27
PO0000112,2024-06-15,SUP027,SKU0112,3414,251.6,Approved,2024-06-24
PO0000113,2024-01-24,SUP022,SKU0032,1921,431.78,Delayed,2024-02-24
PO0000114,2025-09-01,SUP043,SKU0006,3036,344.08,Ordered,2025-09-29
PO0000115,2024-01-06,SUP019,SKU0079,899,14.61,Delayed,2024-01-11
PO0000116,2024-06-13,SUP047,SKU0095,4679,201.99,Ordered,2024-06-26
PO0000117,2024-11-18,SUP042,SKU0090,831,251.83,Ordered,2024-12-26
PO0000118,2024-09-20,SUP027,SKU0024,2814,409.1,In Transit,2024-09-29
PO0000119,2024-08-25,SUP030,SKU0008,1064,459.17,Delayed,2024-09-17
PO0000120,2023-05-26,SUP031,SKU0118,1693,397.59,Delayed,2023-07-09
PO0000121,2025-02-20,SUP034,SKU0102,2544,462.59,Ordered,2025-03-12
PO0000122,2023-10-09,SUP013,SKU0088,2907,275.4,In Transit,2023-11-19
PO0000123,2025-07-26,SUP010,SKU0081,2691,322.9,Ordered,2025-08-17
PO0000124,2023-06-15,SUP032,SKU0063,2824,413.55,Ordered,2023-07-27
PO0000125,2024-10-03,SUP041,SKU0104,575,496.67,Received,2024-10-13
PO0000126,2024-03-04,SUP049,SKU0109,1481,174.87,Ordered,2024-03-29
PO0000127,2025-09-29,SUP049,SKU0052,821,15.85,Received,2025-10-24
PO0000128,2025-05-29,SUP026,SKU0079,3614,16.07,Received,2025-07-06
PO0000129,2023-01-10,SUP003,SKU0013,4472,252.88,Received,2023-02-11
PO0000130,2023-01-29,SUP021,SKU0078,4450,488.72,Delayed,2023-02-14
PO0000131,2023-01-09,SUP041,SKU0085,2138,557.74,Received,2023-01-19
PO0000132,2024-10-01,SUP009,SKU0016,941,211.93,In Transit,2024-10-22
PO0000133,2024-09-18,SUP011,SKU0117,634,343.25,Received,2024-09-24
PO0000134,2024-08-18,SUP030,SKU0027,4362,268.57,Received,2024-09-10
PO0000135,2025-06-07,SUP044,SKU0055,1196,159.51,Received,2025-06-17
PO0000136,2025-01-05,SUP049,SKU0064,1643,84.85,Received,2025-01-30
PO0000137,2023-02-09,SUP015,SKU0070,1937,167.81,Ordered,2023-03-22
PO0000138,2024-03-08,SUP047,SKU0079,279,14.96,Ordered,2024-03-21
PO0000139,2023-09-10,SUP024,SKU0025,406,11.17,Delayed,2023-09-19
PO0000140,2024-06-07,SUP050,SKU0006,4480,352.04,In Transit,2024-06-26
PO0000141,2023-04-09,SUP043,SKU0108,985,425.79,Approved,2023-05-07
PO0000142,2023-04-09,SUP045,SKU0024,1048,412.89,Received,2023-04-22
PO0000143,2023-09-11,SUP036,SKU0091,2170,194.86,Ordered,2023-10-08
PO0000144,2024-02-25,SUP045,SKU0048,176,24.8,Delayed,2024-03-09
PO0000145,2023-07-26,SUP043,SKU0094,4362,238.35,In Transit,2023-08-23
PO0000146,2023-10-08,SUP027,SKU0064,959,91.16,In Transit,2023-10-17
PO0000147,2023-08-30,SUP019,SKU0086,1033,99.35,Received,2023-09-04
PO0000148,2024-02-11,SUP039,SKU0120,1736,252.47,In Transit,2024-03-02
PO0000149,2024-02-18,SUP023,SKU0116,3456,133.52,Approved,2024-03-20
PO0000150,2025-10-13,SUP014,SKU0082,4037,95.48,Approved,2025-11-19
PO0000151,2023-01-27,SUP043,SKU0049,829,335.9,In Transit,2023-02-24
PO0000152,2025-10-08,SUP010,SKU0015,837,394.41,Approved,2025-10-30
PO0000153,2023-07-27,SUP017,SKU0003,1993,41.27,Received,2023-08-08
PO0000154,2024-06-24,SUP030,SKU0046,510,85.1,Ordered,2024-07-17
PO0000155,2023-03-22,SUP019,SKU0030,3050,500.99,Received,2023-03-27
PO0000156,2025-05-22,SUP048,SKU0062,1049,244.78,Approved,2025-06-16
PO0000157,2023-01-20,SUP009,SKU0027,1496,254.46,Received,2023-02-10
PO0000158,2024-07-03,SUP047,SKU0115,861,194.66,Received,2024-07-16
PO0000159,2024-01-10,SUP008,SKU0045,3383,350.71,Received,2024-02-06
PO0000160,2024-07-10,SUP025,SKU0024,4017,445.06,Delayed,2024-08-16
PO0000161,2023-12-08,SUP008,SKU0021,1185,518.37,Approved,2024-01-04
PO0000162,2023-11-23,SUP007,SKU0085,3508,638.57,Received,2023-12-06
PO0000163,2025-06-16,SUP012,SKU0026,3210,233.71,In Transit,2025-07-08
PO0000164,2023-03-01,SUP044,SKU0035,1170,189.61,Received,2023-03-11
PO0000165,2023-08-20,SUP027,SKU0048,3710,23.48,Received,2023-08-29
PO0000166,2024-10-05,SUP001,SKU0119,4399,468.67,In Transit,2024-10-19
PO0000167,2024-04-03,SUP043,SKU0072,2871,17.32,Delayed,2024-05-01
PO0000168,2023-07-15,SUP028,SKU0097,2136,513.52,Delayed,2023-08-08
PO0000169,2025-02-27,SUP010,SKU0050,4673,582.09,In Transit,2025-03-21
PO0000170,2023-04-22,SUP001,SKU0077,1385,314.66,Received,2023-05-06
PO0000171,2025-10-12,SUP011,SKU0078,713,547.16,Received,2025-10-18
PO0000172,2024-05-08,SUP022,SKU0066,2378,411.69,Ordered,2024-06-08
PO0000173,2025-02-14,SUP026,SKU0066,2025,414.27,Received,2025-03-24
PO0000174,2025-07-06,SUP006,SKU0037,4183,356.46,Approved,2025-07-22
PO0000175,2025-10-15,SUP048,SKU0045,245,329.41,Received,2025-11-09
PO0000176,2023-03-15,SUP036,SKU0058,4598,156.34,Approved,2023-04-11
PO0000177,2024-09-15,SUP033,SKU0042,4706,14.12,Delayed,2024-10-02
PO0000178,2025-07-23,SUP022,SKU0041,3076,521.76,Ordered,2025-08-23
PO0000179,2025-07-19,SUP022,SKU0069,4688,234.37,In Transit,2025-08-19
PO0000180,2025-08-26,SUP046,SKU0077,3076,327.88,Approved,2025-10-06
PO0000181,2023-07-19,SUP049,SKU0065,1916,286.85,Received,2023-08-13
PO0000182,2024-08-20,SUP036,SKU0078,4376,507.82,Approved,2024-09-16
PO0000183,2023-04-04,SUP011,SKU0086,4133,87.24,Delayed,2023-04-10
PO0000184,2025-04-18,SUP007,SKU0073,2183,100.73,Ordered,2025-05-01
PO0000185,2023-09-05,SUP026,SKU0022,1866,379.83,Ordered,2023-10-13
PO0000186,2024-11-23,SUP007,SKU0099,3495,449.06,Delayed,2024-12-06
PO0000187,2023-09-10,SUP050,SKU0028,3790,175.81,In Transit,2023-09-29
PO0000188,2025-10-29,SUP009,SKU0024,4186,378.26,Delayed,2025-11-19
PO0000189,2023-04-10,SUP036,SKU0089,3645,412.11,Received,2023-05-07
PO0000190,2025-11-07,SUP050,SKU0086,1551,97.61,Ordered,2025-11-26
PO0000191,2023-09-20,SUP007,SKU0089,3273,398.12,In Transit,2023-10-03
PO0000192,2024-10-21,SUP033,SKU0104,3251,542.31,In Transit,2024-11-07
PO0000193,2024-05-23,SUP018,SKU0034,3359,439.34,Received,2024-05-28
PO0000194,2025-07-16,SUP009,SKU0082,1231,97.11,Delayed,2025-08-06
PO0000195,2025-11-15,SUP020,SKU0061,4587,472.47,Delayed,2025-12-13
PO0000196,2024-03-21,SUP013,SKU0010,1817,35.41,Received,2024-05-01
PO0000197,2024-12-08,SUP044,SKU0033,1186,577.94,Delayed,2024-12-18
PO0000198,2023-12-31,SUP033,SKU0075,4544,571.74,Received,2024-01-17
PO0000199,2023-08-25,SUP049,SKU0102,2985,476.63,In Transit,2023-09-19
PO0000200,2025-05-04,SUP044,SKU0060,4473,367.78,Received,2025-05-14
PO0000201,2023-01-27,SUP034,SKU0071,972,131.02,Ordered,2023-02-16
PO0000202,2023-04-19,SUP043,SKU0111,563,314.81,Ordered,2023-05-17
PO0000203,2024-08-09,SUP044,SKU0118,2152,369.44,Approved,2024-08-19
PO0000204,2024-08-27,SUP014,SKU0096,4533,375.97,Received,2024-10-03
PO0000205,2023-07-29,SUP040,SKU0034,4702,431.4,Delayed,2023-08-06
PO0000206,2025-03-07,SUP016,SKU0017,4285,621.02,Delayed,2025-03-28
PO0000207,2024-08-12,SUP045,SKU0012,484,31.5,Received,2024-08-25
PO0000208,2025-05-03,SUP044,SKU0019,2661,517.68,Approved,2025-05-13
PO0000209,2023-01-27,SUP048,SKU0019,2158,445.44,Received,2023-02-21
PO0000210,2024-04-06,SUP041,SKU0120,3112,251.37,In Transit,2024-04-16
PO0000211,2024-02-07,SUP050,SKU0086,1685,90.13,Ordered,2024-02-26
PO0000212,2023-06-02,SUP012,SKU0108,1523,432.52,Approved,2023-06-24
PO0000213,2025-02-11,SUP003,SKU0102,3610,449.97,Received,2025-03-15
PO0000214,2023-09-24,SUP011,SKU0108,4884,441.69,Approved,2023-09-30
PO0000215,2024-11-07,SUP030,SKU0018,1368,468.73,Received,2024-11-30
PO0000216,2023-04-15,SUP050,SKU0037,2567,359.59,In Transit,2023-05-04
PO0000217,2025-01-03,SUP005,SKU0069,2703,223.6,Ordered,2025-02-16
PO0000218,2025-12-02,SUP005,SKU0030,4238,440.3,In Transit,2026-01-15
PO0000219,2025-04-06,SUP006,SKU0055,2962,155.51,Ordered,2025-04-22
PO0000220,2024-11-10,SUP022,SKU0080,3055,427.92,In Transit,2024-12-11
PO0000221,2025-12-22,SUP031,SKU0105,4698,416.45,Delayed,2026-02-04
PO0000222,2023-01-19,SUP008,SKU0085,2934,583.63,Delayed,2023-02-15
PO0000223,2024-05-14,SUP003,SKU0047,2729,355.36,Approved,2024-06-15
PO0000224,2025-03-01,SUP017,SKU0017,4525,613.93,Approved,2025-03-13
PO0000225,2025-11-24,SUP050,SKU0112,3171,258.09,In Transit,2025-12-13
PO0000226,2025-07-01,SUP032,SKU0003,459,39.94,Delayed,2025-08-12
PO0000227,2024-01-30,SUP021,SKU0092,4309,135.48,Approved,2024-02-15
PO0000228,2023-12-09,SUP050,SKU0026,4507,222.82,Delayed,2023-12-28
PO0000229,2023-05-15,SUP014,SKU0025,1846,12.3,Received,2023-06-21
PO0000230,2023-08-01,SUP014,SKU0076,4505,245.08,Delayed,2023-09-07
PO0000231,2025-06-10,SUP042,SKU0038,690,223.21,Ordered,2025-07-18
PO0000232,2023-02-18,SUP030,SKU0043,2817,123.16,Approved,2023-03-13
PO0000233,2023-04-22,SUP012,SKU0070,2163,162.38,In Transit,2023-05-14
PO0000234,2024-04-11,SUP017,SKU0115,3439,195.28,Delayed,2024-04-23
PO0000235,2025-04-08,SUP028,SKU0090,2691,240.88,Delayed,2025-05-02
PO0000236,2023-08-31,SUP035,SKU0105,148,402.19,In Transit,2023-10-01
PO0000237,2023-05-10,SUP049,SKU0089,4897,350.88,Approved,2023-06-04
PO0000238,2025-01-02,SUP033,SKU0051,969,291.94,Delayed,2025-01-19
PO0000239,2024-09-09,SUP039,SKU0071,808,138.43,Received,2024-09-29
PO0000240,2025-02-20,SUP026,SKU0046,352,92.02,In Transit,2025-03-30
PO0000241,2024-03-26,SUP009,SKU0098,3303,232.94,In Transit,2024-04-16
PO0000242,2024-08-27,SUP041,SKU0076,1280,220.67,Delayed,2024-09-06
PO0000243,2025-02-03,SUP001,SKU0054,4634,494.49,Ordered,2025-02-17
PO0000244,2023-09-10,SUP003,SKU0119,141,451.34,Received,2023-10-12
PO0000245,2023-06-24,SUP020,SKU0116,1820,146.13,Delayed,2023-07-22
PO0000246,2024-12-05,SUP014,SKU0119,3480,480.96,In Transit,2025-01-11
PO0000247,2023-10-19,SUP011,SKU0057,1607,400.39,Received,2023-10-25
PO0000248,2024-02-02,SUP008,SKU0055,1585,170.32,In Transit,2024-02-29
PO0000249,2023-04-22,SUP049,SKU0001,4596,324.52,In Transit,2023-05-17
PO0000250,2023-05-30,SUP019,SKU0078,651,494.98,Ordered,2023-06-04
PO0000251,2025-09-24,SUP022,SKU0025,3025,10.61,Delayed,2025-10-25
PO0000252,2024-04-25,SUP007,SKU0075,2435,563.51,Ordered,2024-05-08
PO0000253,2024-10-12,SUP032,SKU0022,3791,369.97,Delayed,2024-11-23
PO0000254,2024-09-18,SUP045,SKU0109,4885,160.27,In Transit,2024-10-01
PO0000255,2025-01-16,SUP021,SKU0084,3608,371.45,Received,2025-02-01
PO0000256,2024-05-19,SUP015,SKU0100,3672,322.91,Received,2024-06-29
PO0000257,2023-10-03,SUP044,SKU0073,2816,106.0,Received,2023-10-13
PO0000258,2025-07-01,SUP023,SKU0007,2602,326.34,Approved,2025-08-01
PO0000259,2023-12-26,SUP042,SKU0002,771,192.74,Ordered,2024-02-02
PO0000260,2024-02-07,SUP017,SKU0117,726,337.03,Approved,2024-02-19
PO0000261,2025-11-04,SUP041,SKU0108,355,438.93,In Transit,2025-11-14
PO0000262,2025-04-09,SUP050,SKU0071,4933,136.44,Approved,2025-04-28
PO0000263,2024-06-17,SUP035,SKU0057,4521,421.7,Ordered,2024-07-18
PO0000264,2025-01-19,SUP026,SKU0104,1929,594.44,In Transit,2025-02-26
PO0000265,2024-08-18,SUP009,SKU0018,3906,516.35,Approved,2024-09-08
PO0000266,2025-03-23,SUP024,SKU0079,4213,13.26,Ordered,2025-04-01
PO0000267,2023-12-06,SUP049,SKU0065,4311,295.66,Ordered,2023-12-31
PO0000268,2024-01-02,SUP037,SKU0051,4735,314.47,Ordered,2024-01-07
PO0000269,2025-09-17,SUP023,SKU0028,431,167.35,Received,2025-10-18
PO0000270,2024-04-19,SUP005,SKU0095,2265,186.89,Approved,2024-06-02
PO0000271,2024-02-28,SUP034,SKU0052,3059,16.74,Received,2024-03-19
PO0000272,2023-04-06,SUP003,SKU0088,2754,258.23,In Transit,2023-05-08
PO0000273,2024-07-14,SUP048,SKU0044,2257,525.52,In Transit,2024-08-08
PO0000274,2023-12-23,SUP025,SKU0029,3200,288.37,Delayed,2024-01-29
PO0000275,2023-06-09,SUP034,SKU0117,2160,314.4,Ordered,2023-06-29
PO0000276,2025-11-23,SUP026,SKU0110,2990,397.75,Received,2025-12-31
PO0000277,2025-09-24,SUP031,SKU0036,154,425.34,Ordered,2025-11-07
PO0000278,2025-06-19,SUP011,SKU0063,1984,368.9,Delayed,2025-06-25
PO0000279,2024-07-29,SUP014,SKU0073,1330,92.38,Received,2024-09-04
PO0000280,2023-08-31,SUP043,SKU0046,1986,90.92,Received,2023-09-28
PO0000281,2023-08-21,SUP031,SKU0024,4022,418.12,In Transit,2023-10-04
PO0000282,2023-11-27,SUP042,SKU0115,3466,180.67,Approved,2024-01-04
PO0000283,2023-09-19,SUP037,SKU0106,4952,454.22,Delayed,2023-09-24
PO0000284,2025-11-15,SUP003,SKU0017,4788,546.11,Ordered,2025-12-17
PO0000285,2024-06-12,SUP012,SKU0036,4332,464.15,In Transit,2024-07-04
PO0000286,2023-02-08,SUP047,SKU0072,2422,18.79,Ordered,2023-02-21
PO0000287,2025-07-08,SUP039,SKU0100,3961,362.84,Ordered,2025-07-28
PO0000288,2024-03-25,SUP027,SKU0058,1269,183.95,Ordered,2024-04-03
PO0000289,2025-11-12,SUP017,SKU0047,1473,380.32,Received,2025-11-24
PO0000290,2025-07-17,SUP039,SKU0064,4938,83.11,Received,2025-08-06
PO0000291,2025-02-28,SUP009,SKU0025,989,10.35,In Transit,2025-03-21
PO0000292,2025-10-29,SUP044,SKU0101,3538,515.93,In Transit,2025-11-08
PO0000293,2023-07-17,SUP012,SKU0070,3998,173.41,In Transit,2023-08-08
PO0000294,2023-03-21,SUP035,SKU0060,4223,403.62,Approved,2023-04-21
PO0000295,2025-09-14,SUP043,SKU0074,1167,482.93,In Transit,2025-10-12
PO0000296,2023-01-03,SUP050,SKU0081,3634,302.41,Received,2023-01-22
PO0000297,2023-03-30,SUP045,SKU0047,4440,358.83,Received,2023-04-12
PO0000298,2025-02-19,SUP023,SKU0066,4925,479.93,Delayed,2025-03-22
PO0000299,2023-07-20,SUP028,SKU0010,1196,32.85,Ordered,2023-08-13
PO0000300,2023-06-21,SUP019,SKU0112,4554,252.65,Ordered,2023-06-26
PO0000301,2023-01-12,SUP046,SKU0071,158,147.02,Approved,2023-02-22
PO0000302,2025-11-30,SUP001,SKU0012,3172,29.92,Delayed,2025-12-14
PO0000303,2024-10-08,SUP027,SKU0022,3067,352.97,Received,2024-10-17
PO0000304,2024-06-03,SUP017,SKU0112,4491,253.42,Received,2024-06-15
PO0000305,2024-07-18,SUP044,SKU0026,3355,232.64,Received,2024-07-28
PO0000306,2025-09-15,SUP012,SKU0097,3132,521.47,Received,2025-10-07
PO0000307,2024-06-03,SUP020,SKU0040,4832,68.68,Delayed,2024-07-01
PO0000308,2025-03-26,SUP048,SKU0077,1231,336.63,Delayed,2025-04-20
PO0000309,2023-09-01,SUP048,SKU0046,1982,91.51,Delayed,2023-09-26
PO0000310,2023-11-28,SUP007,SKU0072,1856,17.28,Received,2023-12-11
PO0000311,2023-04-17,SUP011,SKU0103,3287,250.95,Approved,2023-04-23
PO0000312,2023-07-06,SUP010,SKU0061,3963,478.21,Received,2023-07-28
PO0000313,2023-06-30,SUP005,SKU0025,2255,10.82,Approved,2023-08-13
PO0000314,2023-03-19,SUP047,SKU0099,3248,536.39,Received,2023-04-01
PO0000315,2025-12-03,SUP019,SKU0067,4994,189.28,Ordered,2025-12-08
PO0000316,2025-10-09,SUP029,SKU0044,187,486.51,Delayed,2025-11-12
PO0000317,2025-11-27,SUP019,SKU0109,1695,156.17,In Transit,2025-12-02
PO0000318,2025-11-11,SUP034,SKU0001,1997,334.58,Delayed,2025-12-01
PO0000319,2023-03-15,SUP024,SKU0018,2059,532.24,Ordered,2023-03-24
PO0000320,2023-06-27,SUP018,SKU0021,3372,484.15,Received,2023-07-02
PO0000321,2025-04-10,SUP038,SKU0052,1740,17.18,Delayed,2025-05-04
PO0000322,2023-05-21,SUP006,SKU0037,4602,344.74,In Transit,2023-06-06
PO0000323,2024-12-13,SUP023,SKU0097,2365,487.17,Ordered,2025-01-13
PO0000324,2025-07-20,SUP026,SKU0070,4809,144.62,Ordered,2025-08-27
PO0000325,2025-04-13,SUP033,SKU0106,972,492.95,In Transit,2025-04-30
PO0000326,2024-08-25,SUP022,SKU0042,1058,15.91,Received,2024-09-25
PO0000327,2024-05-27,SUP045,SKU0045,3727,391.21,In Transit,2024-06-09
PO0000328,2025-09-17,SUP050,SKU0059,2092,614.96,Received,2025-10-06
PO0000329,2025-08-01,SUP038,SKU0104,324,549.29,Received,2025-08-25
PO0000330,2023-05-19,SUP025,SKU0061,1905,456.27,Ordered,2023-06-25
