order_id,date,product_name,region,warehouse,quantity,price
ORD10085,2022-02-26,Biscuits 100g,Rajasthan,WH-IND,42.0,428.34
ORD10086,2023-05-26,Milk 500ml,Delhi,WH-MUM,51.0,88.96
ORD10087,2024-01-17,Biscuits 500g,Karnataka,WH-JAI,98.0,33.9
ORD10088,2022-09-26,Milk 500ml,Karnataka,WH-AHM,105.0,543.32
ORD10089,2024-07-31,Milk 500ml,Maharashtra,WH-DEL,80.0,611.33
ORD10090,2024-09-03,,Chhattisgarh,WH-DEL,76.0,448.25
ORD10091,04/02/24,Milk 1L,Gujarat,WH-MUM,80.0,496.48
ORD10092,12/04/22,Milk 1L,Rajasthan,WH-JAI,59.0,262.57
ORD10093,2024-02-24,Biscuits 100g,Rajasthan,WH-JAI,57.0,98.99
ORD10094,2023-02-06,Biscuits 500g,Chhattisgarh,WH-BLR,39.0,183.41
ORD10095,2022-01-02,,Gujarat,WH-MUM,58.0,234.38
ORD10096,2024-08-08,Tea 500g,Rajasthan,WH-DEL,127.0,680.15
ORD10097,2024-01-21,Detergent 2kg,Karnataka,WH-RAI,86.0,364.93
ORD10098,2023-09-20,Coffee 200g,Delhi,WH-JAI,49.0,489.18
ORD10099,2023-10-30,Tea 250g,Rajasthan,WH-DEL,67.90002164452224,382.51
ORD10100,2024-08-14,Coffee 200g,Chhattisgarh,WH-IND,34.0,613.9
ORD10101,2023-11-26,Sunflower Oil 5L,Chhattisgarh,WH-DEL,154.89111210952439,692.12
ORD10102,2023-06-28,Tea 250g,Delhi,WH-DEL,71.0,548.05
ORD10103,2024-02-28,Peanut Butter Smooth 1kg,Chhattisgarh,WH-AHM,,724.75
ORD10104,19/08/23,Milk 1L,Rajasthan,WH-RAI,74.0,424.68
ORD10105,2024-04-26,Sunflower Oil 1L,Gujarat,WH-AHM,42.0,496.03
ORD10106,2023-06-20,Sunflower Oil 2L,Rajasthan,WH-JAI,102.0,133.26
ORD10107,2022-10-10,Peanut Butter Crunchy 500g,Chhattisgarh,WH-JAI,128.42451078826304,429.78
ORD10108,08/05/22,Biscuits 200g,Delhi,WH-IND,111.0,590.34
ORD10109,2022-07-21,Detergent 500g,Chhattisgarh,WH-AHM,46.0,606.55
ORD10110,2024-06-08,,Chhattisgarh,WH-JAI,51.0,722.14
ORD10111,2023-04-16,Sunflower Oil 5L,Madhya Pradesh,WH-RAI,68.0,85.65
ORD10112,2024-04-23,,Karnataka,WH-RAI,91.0,778.18
ORD10113,03/06/23,,Rajasthan,WH-RAI,76.0,107.55
ORD10114,2024-03-16,,Karnataka,WH-BLR,22.0,388.94
ORD10115,2022-05-12,,Madhya Pradesh,WH-RAI,65.0,264.87
ORD10116,2022-06-14,Sunflower Oil 2L,Gujarat,WH-MUM,60.0,647.79
ORD10117,2024-08-26,Milk 500ml,Karnataka,WH-JAI,47.0,737.83
ORD10118,2022-11-26,Milk 500ml,Chhattisgarh,WH-RAI,264.4171822395354,108.55
ORD10119,2023-12-12,Biscuits 500g,Rajasthan,WH-MUM,227.14081421922265,189.19
ORD10120,2022-11-03,Tea 500g,Rajasthan,WH-IND,,638.39
ORD10121,2023-05-05,Milk 500ml,Gujarat,WH-RAI,34.0,381.47
ORD10122,2022-01-27,Biscuits 100g,Chhattisgarh,WH-DEL,79.0,791.24
ORD10123,2024-08-23,Peanut Butter Crunchy 500g,Maharashtra,WH-BLR,63.0,589.5
ORD10124,02/08/22,Milk 1L,Delhi,WH-JAI,57.0,67.37
ORD10125,2022-02-02,Detergent 2kg,Karnataka,WH-RAI,83.0,654.34
ORD10126,2024-09-26,Peanut Butter Smooth 200g,Maharashtra,WH-JAI,74.0,517.94
ORD10127,2023-10-18,Sunflower Oil 5L,Karnataka,WH-MUM,122.50440292076479,464.05
ORD10128,2023-09-19,Milk 500ml,Rajasthan,WH-DEL,88.0,486.4
ORD10129,22/02/22,Tea 250g,Karnataka,WH-RAI,68.0,788.29
ORD10130,2022-09-26,Sunflower Oil 1L,Chhattisgarh,WH-IND,41.0,364.9
ORD10131,2023-03-02,Sunflower Oil 2L,Rajasthan,WH-MUM,49.0,372.94
ORD10132,2024-09-17,Tea 250g,Rajasthan,WH-AHM,,35.65
ORD10133,02/06/23,Milk 500ml,Gujarat,WH-AHM,199.06339733618907,670.6
ORD10134,2023-08-11,Milk 500ml,Maharashtra,WH-BLR,27.0,601.75
ORD10135,2024-05-25,Biscuits 100g,Chhattisgarh,WH-IND,5.0,460.63
ORD10136,2022-02-28,Milk 500ml,Gujarat,WH-JAI,62.0,311.08
ORD10137,2022-03-16,,Karnataka,WH-DEL,19.0,351.56
ORD10138,07/02/24,Sunflower Oil 5L,Karnataka,WH-AHM,1.0,559.04
ORD10139,2023-12-02,Biscuits 100g,Gujarat,WH-RAI,127.15670393060628,303.46
ORD10140,2023-05-06,Sunflower Oil 2L,Gujarat,WH-BLR,38.0,513.87
ORD10141,2023-11-30,Sunflower Oil 1L,Chhattisgarh,WH-JAI,115.98092617761387,616.08
ORD10142,2023-10-10,Milk 500ml,Maharashtra,WH-BLR,95.10223362868359,782.22
ORD10143,2023-02-25,Milk 500ml,Chhattisgarh,WH-AHM,26.0,355.79
ORD10144,2022-04-07,Tea 250g,Madhya Pradesh,WH-RAI,22.0,639.25
ORD10145,2022-07-20,Detergent 2kg,Karnataka,WH-IND,44.0,58.12
ORD10146,2023-07-18,Milk 500ml,Chhattisgarh,WH-IND,51.0,562.41
ORD10147,2022-03-12,Biscuits 100g,Chhattisgarh,WH-MUM,35.0,33.74
ORD10148,2024-09-22,Peanut Butter Smooth 1kg,Karnataka,WH-JAI,51.0,344.48
ORD10149,2022-01-24,Biscuits 500g,Chhattisgarh,WH-JAI,13.0,667.29
ORD10150,14/03/23,Milk 1L,Gujarat,WH-AHM,60.0,585.88
ORD10151,2022-07-22,Tea 250g,Delhi,WH-IND,6.0,173.73
ORD10152,2023-03-05,Detergent 500g,Madhya Pradesh,WH-BLR,54.0,458.94
ORD10153,2023-01-08,Tea 250g,Delhi,WH-RAI,80.0,569.74
ORD10154,06/01/23,,Maharashtra,WH-RAI,,622.78
ORD10155,21/12/22,Detergent 500g,Karnataka,WH-RAI,242.38483637810572,781.47
ORD10156,2022-08-20,Detergent 1kg,Maharashtra,WH-JAI,,750.85
ORD10157,2022-04-14,Peanut Butter Smooth 200g,Rajasthan,WH-DEL,82.0,407.45
ORD10158,2022-10-08,Milk 1L,Karnataka,WH-JAI,142.9686482506925,363.2
ORD10159,2023-04-01,Peanut Butter Crunchy 1kg,Rajasthan,WH-AHM,89.0,512.36
ORD10160,2023-01-01,Peanut Butter Smooth 200g,Rajasthan,WH-RAI,32.0,607.18
ORD10161,2023-11-10,Milk 1L,Karnataka,WH-MUM,,67.59
ORD10162,2023-12-12,Detergent 1kg,Madhya Pradesh,WH-DEL,233.70369536152924,700.59
ORD10163,2023-11-06,Biscuits 100g,Gujarat,WH-JAI,25.333212283916005,770.06
ORD10164,2023-04-08,Milk 1L,Karnataka,WH-AHM,74.0,412.92
ORD10165,2024-06-06,,Maharashtra,WH-IND,93.0,531.45
ORD10166,2023-05-08,,Madhya Pradesh,WH-RAI,39.0,291.99
ORD10167,2022-07-06,Sunflower Oil 5L,Karnataka,WH-DEL,77.0,780.53
ORD10168,2024-03-12,Biscuits 500g,Gujarat,WH-AHM,27.0,657.34
ORD10169,2022-04-20,Detergent 500g,Rajasthan,WH-IND,35.0,647.65
ORD10170,2024-05-21,Milk 1L,Gujarat,WH-AHM,35.0,456.65
ORD10171,03/01/23,Detergent 500g,Delhi,WH-RAI,65.0,725.2
ORD10172,23/12/22,Detergent 500g,Madhya Pradesh,WH-MUM,118.51856546471322,605.35
ORD10173,2023-12-18,Sunflower Oil 5L,Karnataka,WH-BLR,174.14085156750482,621.31
ORD10174,2023-02-08,Milk 1L,Maharashtra,WH-AHM,31.0,78.18
ORD10175,2022-04-05,Biscuits 100g,Delhi,WH-IND,56.0,758.69
ORD10176,2023-09-17,Peanut Butter Crunchy 500g,Gujarat,WH-MUM,88.0,583.03
ORD10177,2024-02-18,,Rajasthan,WH-IND,76.0,687.18
ORD10178,2022-05-20,Detergent 500g,Karnataka,WH-RAI,20.0,689.25
ORD10179,2022-03-03,Sunflower Oil 5L,Maharashtra,WH-RAI,79.0,257.72
ORD10180,2022-11-15,Biscuits 100g,Madhya Pradesh,WH-MUM,66.33891565032764,551.39
ORD10181,2022-09-20,Milk 500ml,Gujarat,WH-JAI,71.0,637.25
ORD10182,2023-07-12,Tea 500g,Rajasthan,WH-JAI,69.0,423.07
ORD10183,2024-01-26,Detergent 2kg,Chhattisgarh,WH-DEL,96.0,685.0
ORD10184,09/03/23,Sunflower Oil 2L,Karnataka,WH-MUM,63.0,209.11
ORD10185,2022-08-11,Peanut Butter Crunchy 500g,Delhi,WH-DEL,4.0,787.79
ORD10186,2024-07-13,Sunflower Oil 2L,Maharashtra,WH-JAI,18.0,148.43
ORD10187,2022-11-03,Sunflower Oil 2L,Chhattisgarh,WH-DEL,157.57968362454722,618.0
ORD10188,2024-05-11,Biscuits 100g,Rajasthan,WH-RAI,52.0,242.42
ORD10189,2022-10-04,Coffee 200g,Maharashtra,WH-DEL,165.10721126251153,653.59
ORD10190,2023-12-28,Biscuits 100g,Delhi,WH-AHM,99.20932875278346,696.96
ORD10191,2024-09-03,Tea 500g,Delhi,WH-JAI,37.0,293.66
ORD10192,29/11/22,Peanut Butter Smooth 200g,Karnataka,WH-MUM,,444.9
ORD10193,2024-08-31,Milk 500ml,Chhattisgarh,WH-MUM,35.0,193.21
ORD10194,2024-01-24,Coffee 200g,Delhi,WH-RAI,1.0,52.7
ORD10195,2023-10-14,Tea 500g,Maharashtra,WH-JAI,161.88500585654444,531.18
ORD10196,2022-07-27,Tea 500g,Chhattisgarh,WH-RAI,2.0,794.28
ORD10197,2024-06-21,Coffee 200g,Delhi,WH-MUM,79.0,175.43
ORD10198,26/05/22,Detergent 2kg,Rajasthan,WH-MUM,88.0,376.87
ORD10199,2024-03-06,Peanut Butter Crunchy 200g,Madhya Pradesh,WH-MUM,64.0,257.73
ORD10200,2022-09-22,Detergent 500g,Madhya Pradesh,WH-RAI,,327.48
ORD10201,03/12/23,Peanut Butter Smooth 200g,Madhya Pradesh,WH-DEL,195.64767439638763,662.41
ORD10202,2023-01-18,Coffee 200g,Gujarat,WH-BLR,16.0,227.0
ORD10203,2022-06-07,,Rajasthan,WH-MUM,19.0,263.18
ORD10204,2024-04-05,Tea 250g,Chhattisgarh,WH-RAI,49.0,324.94
ORD10205,2024-04-20,Sunflower Oil 2L,Karnataka,WH-BLR,,763.53
ORD10206,2024-03-25,Sunflower Oil 2L,Gujarat,WH-IND,69.0,470.73
ORD10207,2024-02-09,Detergent 1kg,Gujarat,WH-DEL,84.0,211.84
ORD10208,2022-07-31,Detergent 1kg,Rajasthan,WH-AHM,46.0,330.97
ORD10209,2023-03-10,Detergent 500g,Maharashtra,WH-IND,54.0,211.6
ORD10210,2022-09-07,Sunflower Oil 2L,Delhi,WH-MUM,25.0,472.02
ORD10211,2023-07-22,Detergent 500g,Maharashtra,WH-JAI,50.0,432.87
ORD10212,2022-12-14,Milk 1L,Gujarat,WH-RAI,118.63818374290165,512.43
ORD10213,2022-07-26,,Madhya Pradesh,WH-JAI,51.0,69.99
ORD10214,2024-03-26,Peanut Butter Crunchy 1kg,Madhya Pradesh,WH-JAI,74.0,542.25
ORD10215,2024-01-11,Peanut Butter Smooth 1kg,Chhattisgarh,WH-IND,42.0,293.5
ORD10216,2024-07-07,Detergent 500g,Madhya Pradesh,WH-MUM,42.0,409.36
ORD10217,2024-07-12,Biscuits 500g,Gujarat,WH-IND,61.0,653.36
ORD10218,2023-12-01,Biscuits 200g,Chhattisgarh,WH-MUM,103.91651439045911,687.17
ORD10219,04/09/22,Sunflower Oil 2L,Chhattisgarh,WH-RAI,77.0,440.19
ORD10220,2024-06-18,Milk 1L,Rajasthan,WH-BLR,65.0,79.78
ORD10221,2023-02-23,Milk 500ml,Maharashtra,WH-RAI,112.0,467.19
ORD10222,2024-06-12,Sunflower Oil 2L,Madhya Pradesh,WH-JAI,53.0,276.06
ORD10223,2022-12-24,Milk 1L,Chhattisgarh,WH-MUM,99.32528918779485,525.96
ORD10224,2024-02-21,Detergent 2kg,Maharashtra,WH-JAI,28.0,75.27
ORD10225,2023-02-10,Detergent 500g,Gujarat,WH-JAI,60.0,428.98
ORD10226,2023-07-04,Biscuits 100g,Madhya Pradesh,WH-JAI,335.26159531629355,148.6
ORD10227,2023-01-10,Milk 500ml,Madhya Pradesh,WH-RAI,37.0,443.22
ORD10228,2022-07-21,Peanut Butter Crunchy 200g,Chhattisgarh,WH-BLR,58.0,375.4
ORD10229,2023-02-26,Milk 1L,Maharashtra,WH-BLR,,514.45
ORD10230,2022-11-06,Tea 500g,Delhi,WH-DEL,79.09973372336233,692.81
ORD10231,2023-04-16,Sunflower Oil 5L,Karnataka,WH-IND,44.0,685.67
ORD10232,2022-01-10,Peanut Butter Smooth 200g,Rajasthan,WH-AHM,89.0,529.81
ORD10233,2024-06-30,Tea 500g,Gujarat,WH-DEL,62.0,125.89
ORD10234,2022-08-09,Peanut Butter Smooth 200g,Madhya Pradesh,WH-BLR,71.0,412.71
ORD10235,2024-05-13,Coffee 200g,Madhya Pradesh,WH-RAI,95.0,181.66
ORD10236,2022-05-07,Milk 500ml,Rajasthan,WH-AHM,94.0,656.72
ORD10237,2023-07-31,Sunflower Oil 2L,Rajasthan,WH-BLR,49.0,138.42
ORD10238,20/06/23,Milk 1L,Madhya Pradesh,WH-DEL,44.0,688.84
ORD10239,2022-09-16,Peanut Butter Crunchy 500g,Maharashtra,WH-DEL,68.0,89.18
ORD10240,2022-03-06,Peanut Butter Crunchy 1kg,Madhya Pradesh,WH-JAI,56.0,233.44
ORD10241,11/05/23,Biscuits 100g,Chhattisgarh,WH-DEL,3.0,579.51
ORD10242,07/05/23,Sunflower Oil 2L,Gujarat,WH-BLR,98.0,440.83
ORD10243,2022-01-08,Biscuits 200g,Maharashtra,WH-IND,60.0,566.27
ORD10244,2022-03-18,Coffee 200g,Karnataka,WH-AHM,82.0,373.39
ORD10245,02/02/24,Detergent 500g,Gujarat,WH-MUM,24.0,549.59
ORD10246,2023-01-16,Milk 1L,Gujarat,WH-DEL,,421.73
ORD10247,2023-10-15,Tea 250g,Madhya Pradesh,WH-RAI,186.52725479660535,642.4
ORD10248,2022-03-30,Peanut Butter Crunchy 500g,Karnataka,WH-JAI,56.0,797.8
ORD10249,2023-06-09,Tea 250g,Gujarat,WH-JAI,17.0,74.22
ORD10250,2022-05-25,Milk 500ml,Maharashtra,WH-RAI,,554.91
ORD10251,2024-04-04,Milk 500ml,Madhya Pradesh,WH-IND,53.0,248.55
ORD10252,2023-08-01,Detergent 1kg,Maharashtra,WH-JAI,54.0,254.73
ORD10253,2022-08-11,Sunflower Oil 5L,Maharashtra,WH-RAI,73.0,550.54
ORD10254,01/01/22,Peanut Butter Crunchy 1kg,Madhya Pradesh,WH-MUM,61.0,268.6
ORD10255,19/07/22,Biscuits 500g,Madhya Pradesh,WH-MUM,89.0,747.72
ORD10256,2024-09-05,Biscuits 100g,Chhattisgarh,WH-BLR,45.0,522.66
ORD10257,2024-01-12,Detergent 2kg,Chhattisgarh,WH-MUM,30.0,684.16
ORD10258,2022-12-06,Biscuits 500g,Maharashtra,WH-IND,112.4453549236194,731.35
ORD10259,2022-02-06,Sunflower Oil 1L,Karnataka,WH-AHM,78.0,366.62
ORD10260,2022-09-14,,Rajasthan,WH-MUM,97.0,43.47
ORD10261,2022-02-10,Peanut Butter Smooth 1kg,Delhi,WH-RAI,84.0,139.85
ORD10262,24/01/22,Biscuits 200g,Madhya Pradesh,WH-AHM,7.0,156.09
ORD10263,2022-11-23,,Chhattisgarh,WH-IND,154.12646413736132,553.41
ORD10264,2024-03-18,Peanut Butter Smooth 200g,Gujarat,WH-RAI,103.0,726.19
ORD10265,2022-02-19,Milk 500ml,Delhi,WH-BLR,61.0,710.56
ORD10266,2022-12-30,Milk 1L,Maharashtra,WH-IND,72.6011850894786,194.5
ORD10267,2022-09-27,Milk 500ml,Delhi,WH-BLR,69.0,510.34
ORD10268,2023-05-23,Milk 500ml,Gujarat,WH-BLR,44.0,670.96
ORD10269,2022-09-14,,Gujarat,WH-JAI,79.0,109.4
ORD10270,2024-04-24,Sunflower Oil 2L,Maharashtra,WH-JAI,59.0,334.96
ORD10271,2024-03-16,Detergent 500g,Rajasthan,WH-DEL,,759.11
ORD10272,06/05/23,Milk 1L,Maharashtra,WH-DEL,74.0,683.04
ORD10273,2024-07-16,Milk 1L,Gujarat,WH-AHM,38.0,616.79
ORD10274,2022-04-17,Milk 500ml,Delhi,WH-RAI,78.0,733.68
ORD10275,2022-03-02,Biscuits 100g,Karnataka,WH-DEL,88.0,609.93
ORD10276,2022-06-19,,Chhattisgarh,WH-AHM,42.0,444.41
ORD10277,2022-11-11,Milk 500ml,Gujarat,WH-AHM,,309.28
ORD10278,2022-04-21,Sunflower Oil 2L,Maharashtra,WH-JAI,1.0,297.34
ORD10279,2023-09-13,Peanut Butter Crunchy 200g,Delhi,WH-IND,87.0,729.97
ORD10280,2023-04-20,Biscuits 200g,Gujarat,WH-BLR,42.0,511.96
ORD10281,2022-01-09,,Maharashtra,WH-DEL,1.0,183.38
ORD10282,27/10/22,Biscuits 500g,Maharashtra,WH-IND,9.326050630495262,514.75
ORD10283,06/06/24,Biscuits 200g,Rajasthan,WH-RAI,53.0,509.53
ORD10284,2023-06-01,Sunflower Oil 5L,Rajasthan,WH-MUM,82.0,263.75
ORD10285,2023-12-04,Biscuits 500g,Maharashtra,WH-JAI,105.21891462571891,432.83
ORD10286,2022-09-21,Peanut Butter Smooth 200g,Chhattisgarh,WH-IND,74.0,325.16
ORD10287,2023-02-17,Tea 500g,Delhi,WH-AHM,26.0,151.45
ORD10288,08/02/22,Biscuits 100g,Chhattisgarh,WH-BLR,19.0,484.01
ORD10289,2022-08-09,Milk 500ml,Gujarat,WH-DEL,86.0,721.73
ORD10290,2023-10-26,Coffee 200g,Maharashtra,WH-IND,108.50751770623725,375.24
ORD10291,20/12/22,Biscuits 100g,Chhattisgarh,WH-AHM,,90.63
ORD10292,2024-02-06,Milk 500ml,Rajasthan,WH-DEL,98.0,552.24
ORD10293,2024-08-04,Milk 500ml,Delhi,WH-BLR,31.0,602.21
ORD10294,2024-01-27,Sunflower Oil 1L,Karnataka,WH-JAI,47.0,619.86
ORD10295,2023-02-13,Tea 500g,Gujarat,WH-JAI,90.0,73.26
ORD10296,2022-11-07,,Chhattisgarh,WH-DEL,,266.1
ORD10297,2023-12-05,Biscuits 500g,Madhya Pradesh,WH-MUM,111.18489755319679,88.96
ORD10298,2024-03-16,Tea 500g,Maharashtra,WH-DEL,110.0,301.96
ORD10299,2023-12-17,Detergent 500g,Rajasthan,WH-AHM,82.66844308971824,256.71
ORD10300,2022-02-07,Peanut Butter Smooth 200g,Karnataka,WH-JAI,69.0,575.4
ORD10301,2024-02-03,Coffee 200g,Karnataka,WH-MUM,54.0,422.09
ORD10302,2022-08-21,Sunflower Oil 2L,Chhattisgarh,WH-JAI,12.0,335.22
ORD10303,2022-03-14,Peanut Butter Smooth 200g,Madhya Pradesh,WH-IND,67.0,115.55
ORD10304,2024-09-21,Coffee 200g,Maharashtra,WH-JAI,87.0,100.42
ORD10305,2024-02-18,Sunflower Oil 5L,Karnataka,WH-AHM,55.0,545.89
ORD10306,2023-03-17,Peanut Butter Crunchy 1kg,Gujarat,WH-BLR,57.0,790.85
ORD10307,2022-12-23,Milk 500ml,Gujarat,WH-RAI,191.2374472606619,523.7
ORD10308,2024-02-04,Tea 500g,Rajasthan,WH-JAI,22.0,423.92
ORD10309,2022-04-04,Peanut Butter Crunchy 1kg,Rajasthan,WH-IND,15.0,277.51
ORD10310,2024-09-21,Sunflower Oil 2L,Karnataka,WH-RAI,40.0,377.05
ORD10311,2024-01-17,Milk 500ml,Delhi,WH-MUM,24.0,75.08
ORD10312,2024-09-01,Milk 500ml,Delhi,WH-DEL,100.0,755.85
