po_number,item,supplier_name,order_dt,delivery_dt,qty_ordered,status
PO5029,Milk 1L,ABC Traders,2022/11/11,,1661,Delivered
PO5030,Sunflower Oil 1L,Prime Wholesale,2024/09/09,2024-10-09,616,Cancelled
PO5031,SKU137,ABC Traders,2022/09/04,2022-09-19,2333,Delivered
PO5032,Biscuits 100g,ABC Traders,2022/12/04,2022-12-28,1372,Delayed
PO5033,Detergent 2kg,Global Supplies,2023/10/06,2023-11-03,578,In Transit
PO5034,Peanut Butter Smooth 1kg,Om Distributors,2022/02/28,2022-03-14,3057,Delivered
PO5035,Biscuits 500g,Prime Wholesale,2023/05/04,2023-05-19,4010,In Transit
PO5036,Milk 1L,ABC Traders,2022/08/10,,3269,Delivered
PO5037,SKU130,Om Distributors,2022/11/28,,4998,Delayed
PO5038,SKU113,Global Supplies,2024/05/27,2024-06-12,2777,Delivered
PO5039,Milk 500ml,ABC Traders,2022/02/08,2022-03-05,702,Pending
PO5040,SKU145,Prime Wholesale,2023/02/26,2023-03-19,2316,In Transit
PO5041,SKU105,Om Distributors,2022/01/11,2022-02-03,441,Pending
PO5042,SKU155,ABC Traders,2024/09/10,2024-10-07,1497,Delivered
PO5043,SKU156,Global Supplies,2024/03/30,2024-04-28,2534,Cancelled
PO5044,Detergent 500g,ABC Traders,2024/03/23,,2006,Cancelled
PO5045,SKU109,Global Supplies,2023/09/14,,2522,Delivered
PO5046,Biscuits 500g,Global Supplies,2022/10/19,2022-11-01,3851,Pending
PO5047,SKU142,Global Supplies,2022/06/30,2022-07-13,2848,In Transit
PO5048,SKU147,Global Supplies,2022/04/06,2022-05-01,3481,Delivered
PO5049,Peanut Butter Crunchy 200g,Om Distributors,2022/11/28,,3376,Delayed
PO5050,SKU126,FreshSource Ltd,2023/10/13,2023-10-21,1194,Delivered
PO5051,SKU154,Om Distributors,2023/05/05,2023-05-20,4690,In Transit
PO5052,Tea 500g,Om Distributors,2022/09/11,2022-09-26,3722,In Transit
PO5053,Biscuits 200g,Prime Wholesale,2023/03/29,2023-04-28,2206,Delivered
PO5054,SKU106,Om Distributors,2024/09/21,2024-09-28,2315,Delivered
PO5055,SKU156,Om Distributors,2024/08/07,2024-08-29,4051,Delivered
PO5056,SKU138,Om Distributors,2024/08/25,2024-09-16,2550,Cancelled
PO5057,Biscuits 200g,Global Supplies,2022/05/07,2022-06-01,3957,Pending
PO5058,SKU125,Om Distributors,2022/04/15,2022-05-02,792,In Transit
PO5059,Coffee 200g,Om Distributors,2022/12/26,2023-01-13,4300,Delayed
PO5060,SKU121,FreshSource Ltd,2023/10/05,2023-11-01,3260,In Transit
PO5061,SKU139,ABC Traders,2023/06/27,2023-07-05,3334,Delayed
PO5062,SKU118,ABC Traders,2023/08/08,2023-08-28,4982,Delayed
PO5063,Milk 500ml,Om Distributors,2024/01/02,2024-01-21,2773,In Transit
PO5064,SKU156,FreshSource Ltd,2023/08/19,,4607,Delivered
PO5065,SKU144,Om Distributors,2024/01/09,2024-01-12,316,Delayed
PO5066,Sunflower Oil 1L,FreshSource Ltd,2022/12/22,2023-01-15,2507,Pending
PO5067,SKU141,ABC Traders,2024/08/27,,949,Delayed
PO5068,Milk 1L,Prime Wholesale,2023/06/28,,1118,Delivered
PO5069,Biscuits 500g,FreshSource Ltd,2022/03/18,2022-03-27,4415,Delivered
PO5070,SKU104,Global Supplies,2024/05/17,2024-05-21,2443,In Transit
PO5071,SKU107,Global Supplies,2023/11/23,,2899,Delayed
PO5072,Tea 500g,FreshSource Ltd,2024/08/13,2024-08-25,1968,In Transit
PO5073,Tea 500g,Prime Wholesale,2023/01/21,,589,Delayed
PO5074,SKU114,ABC Traders,2024/06/18,2024-06-21,1364,Pending
PO5075,SKU135,ABC Traders,2022/06/23,2022-07-02,3399,Delayed
PO5076,SKU150,FreshSource Ltd,2023/05/16,,3771,Delayed
PO5077,SKU124,ABC Traders,2022/10/15,2022-10-28,4026,Delivered
PO5078,Peanut Butter Crunchy 500g,ABC Traders,2023/04/11,2023-04-28,4646,Cancelled
PO5079,Tea 250g,Om Distributors,2022/09/03,2022-09-07,4806,Delayed
PO5080,SKU122,Prime Wholesale,2022/02/07,2022-02-25,3577,Delayed
PO5081,Peanut Butter Smooth 200g,FreshSource Ltd,2023/11/06,2023-11-17,474,In Transit
PO5082,SKU147,FreshSource Ltd,2023/01/08,2023-02-01,1944,Delayed
PO5083,Peanut Butter Crunchy 1kg,FreshSource Ltd,2023/04/23,2023-05-01,3976,Delayed
PO5084,Sunflower Oil 5L,ABC Traders,2022/11/10,,2127,Pending
PO5085,SKU119,Prime Wholesale,2023/01/19,2023-02-04,2795,Delayed
PO5086,SKU114,Om Distributors,2023/07/22,2023-08-13,2913,Cancelled
PO5087,SKU118,Om Distributors,2023/08/08,,3730,Cancelled
PO5088,Sunflower Oil 5L,ABC Traders,2022/11/26,2022-12-22,2096,Cancelled
PO5089,Sunflower Oil 5L,Om Distributors,2022/12/03,2022-12-15,3373,Cancelled
PO5090,Milk 500ml,Om Distributors,2024/03/25,2024-04-21,3129,Delivered
PO5091,SKU129,Global Supplies,2023/09/10,2023-09-30,3612,In Transit
PO5092,SKU109,Prime Wholesale,2023/03/16,2023-04-13,3483,Pending
PO5093,SKU121,Prime Wholesale,2023/08/29,,3486,Cancelled
PO5094,Tea 250g,FreshSource Ltd,2023/09/04,2023-09-20,4499,In Transit
PO5095,Detergent 500g,ABC Traders,2024/01/16,2024-01-20,4947,Delayed
PO5096,SKU147,FreshSource Ltd,2024/08/16,2024-08-29,1824,In Transit
PO5097,SKU142,Global Supplies,2023/02/28,2023-03-15,4355,Cancelled
PO5098,Sunflower Oil 2L,ABC Traders,2023/07/25,2023-08-08,3153,Delayed
PO5099,SKU103,Global Supplies,2024/09/21,2024-10-02,3917,Delayed
PO5100,Detergent 500g,FreshSource Ltd,2024/06/03,2024-06-18,1057,Cancelled
PO5101,Coffee 200g,Global Supplies,2022/07/14,2022-07-27,1208,Pending
PO5102,SKU118,ABC Traders,2023/11/03,,4264,Pending
PO5103,SKU134,Prime Wholesale,2024/09/08,,1284,Pending
PO5104,SKU108,Prime Wholesale,2022/07/19,,1406,Delivered
PO5105,SKU122,ABC Traders,2022/03/01,2022-03-25,3697,Delayed
PO5106,SKU127,Global Supplies,2023/07/28,2023-08-02,3081,Cancelled
PO5107,SKU100,ABC Traders,2024/08/09,2024-08-16,1584,In Transit
PO5108,Detergent 500g,FreshSource Ltd,2023/08/16,2023-09-11,2751,In Transit
PO5109,SKU142,ABC Traders,2023/03/16,,4322,In Transit
PO5110,Milk 1L,FreshSource Ltd,2022/12/30,2023-01-25,3734,Pending
PO5111,SKU136,FreshSource Ltd,2024/07/14,2024-08-09,3632,Delivered
PO5112,SKU109,ABC Traders,2023/06/09,2023-07-05,3078,Pending
PO5113,SKU109,Om Distributors,2023/02/25,2023-03-25,1353,Delayed
PO5114,SKU134,Global Supplies,2024/01/27,2024-02-18,4502,Pending
PO5115,Tea 250g,ABC Traders,2024/03/13,2024-04-01,3215,In Transit
PO5116,Milk 1L,Om Distributors,2022/08/15,2022-08-24,1060,Delivered
PO5117,SKU153,Global Supplies,2022/05/28,2022-06-05,753,In Transit
PO5118,SKU134,Om Distributors,2024/05/26,2024-06-19,3243,Delivered
PO5119,Peanut Butter Crunchy 200g,FreshSource Ltd,2023/02/04,,673,In Transit
PO5120,Sunflower Oil 5L,Global Supplies,2024/09/06,2024-10-03,2440,Delivered
PO5121,Milk 1L,ABC Traders,2024/02/29,2024-03-09,1138,Delivered
PO5122,Milk 1L,FreshSource Ltd,2023/10/22,2023-11-09,4833,Delivered
PO5123,SKU120,Prime Wholesale,2022/09/15,2022-10-04,4858,In Transit
PO5124,SKU113,ABC Traders,2023/05/02,,4388,Pending
PO5125,SKU119,ABC Traders,2022/03/04,2022-03-10,1613,In Transit
PO5126,SKU113,ABC Traders,2023/02/05,2023-03-03,511,Delivered
PO5127,SKU134,Om Distributors,2024/07/09,2024-07-19,2394,Delivered
PO5128,SKU146,Global Supplies,2024/07/01,2024-07-10,4731,Delivered
PO5129,Sunflower Oil 2L,ABC Traders,2024/07/24,2024-08-18,1203,In Transit
PO5130,SKU154,ABC Traders,2024/05/31,,770,Cancelled
PO5131,SKU143,Prime Wholesale,2023/01/19,2023-02-14,2022,Cancelled
PO5132,SKU132,FreshSource Ltd,2022/06/14,2022-07-01,4574,Cancelled
PO5133,SKU145,Om Distributors,2023/07/12,2023-07-25,3456,Cancelled
PO5134,Biscuits 100g,FreshSource Ltd,2024/04/16,2024-04-25,4804,Pending
PO5135,SKU110,ABC Traders,2022/04/21,,592,Delivered
PO5136,SKU122,FreshSource Ltd,2022/06/05,2022-06-22,3504,Pending
PO5137,SKU147,Om Distributors,2023/04/29,,1089,Pending
PO5138,SKU100,Prime Wholesale,2022/04/12,,3323,Pending
PO5139,SKU141,ABC Traders,2023/01/09,2023-01-25,3537,Pending
PO5140,SKU128,Om Distributors,2024/06/15,2024-07-06,2055,Cancelled
PO5141,SKU158,ABC Traders,2023/09/11,2023-09-25,1299,Pending
PO5142,Milk 500ml,FreshSource Ltd,2023/11/28,,2900,Delayed
PO5143,SKU148,Om Distributors,2022/01/24,,767,Delayed
PO5144,SKU114,Prime Wholesale,2022/04/12,2022-05-08,4394,Cancelled
PO5145,SKU141,ABC Traders,2023/03/13,2023-03-19,2798,In Transit
PO5146,SKU119,Prime Wholesale,2023/05/09,2023-05-14,1643,Delayed
PO5147,SKU119,FreshSource Ltd,2023/03/03,,4314,Cancelled
PO5148,SKU106,Global Supplies,2023/09/07,2023-09-21,979,Delayed
PO5149,SKU147,Prime Wholesale,2023/10/03,2023-10-18,309,Delivered
PO5150,SKU147,ABC Traders,2022/12/20,2023-01-02,4147,Delayed
PO5151,SKU100,FreshSource Ltd,2023/02/01,,4472,Pending
PO5152,SKU114,FreshSource Ltd,2022/10/13,2022-10-29,3345,Delivered
PO5153,SKU110,FreshSource Ltd,2022/02/15,2022-03-05,2311,Cancelled
PO5154,SKU149,FreshSource Ltd,2024/01/24,2024-02-12,4840,Delayed
PO5155,Coffee 200g,Global Supplies,2022/07/08,2022-07-11,1977,In Transit
PO5156,Detergent 500g,Om Distributors,2023/10/30,2023-11-03,443,Cancelled
PO5157,Detergent 500g,Om Distributors,2024/08/05,2024-08-10,979,Delivered
PO5158,SKU125,ABC Traders,2024/03/15,2024-03-26,2233,Delivered
PO5159,Peanut Butter Crunchy 1kg,Om Distributors,2023/11/27,2023-12-20,1053,Delayed
PO5160,Milk 500ml,Prime Wholesale,2024/02/11,2024-02-19,2395,Pending
PO5161,Milk 1L,Global Supplies,2024/04/17,2024-05-02,2430,Delayed
PO5162,SKU159,Prime Wholesale,2022/12/12,2022-12-31,2286,Delayed
PO5163,SKU133,Global Supplies,2024/09/24,2024-09-30,3389,Delivered
PO5164,SKU148,Om Distributors,2022/07/24,2022-08-09,2507,Pending
PO5165,SKU109,Global Supplies,2022/05/22,,2433,Pending
PO5166,Milk 1L,Global Supplies,2024/09/26,2024-10-19,849,Delayed
PO5167,SKU142,Global Supplies,2023/08/28,2023-09-08,2782,Cancelled
PO5168,Tea 250g,Prime Wholesale,2024/01/07,,581,Cancelled
PO5169,SKU110,Om Distributors,2023/01/11,,679,Cancelled
PO5170,SKU159,Global Supplies,2022/09/03,2022-09-26,2176,Cancelled
PO5171,SKU105,Global Supplies,2022/01/27,2022-02-10,1888,Delivered
PO5172,SKU132,FreshSource Ltd,2022/01/29,2022-02-05,1294,Delayed
PO5173,Sunflower Oil 1L,Om Distributors,2023/03/31,2023-04-22,3413,In Transit
PO5174,SKU116,ABC Traders,2022/04/20,2022-05-01,3519,Cancelled
PO5175,SKU153,FreshSource Ltd,2023/03/02,2023-03-14,2818,Pending
PO5176,SKU135,ABC Traders,2024/03/24,,3310,Delivered
PO5177,Peanut Butter Smooth 200g,Prime Wholesale,2023/04/29,2023-05-14,3706,Cancelled
PO5178,SKU104,Om Distributors,2023/08/06,,2419,Delivered
PO5179,SKU146,Om Distributors,2022/11/13,2022-12-13,808,Pending
PO5180,SKU153,Prime Wholesale,2024/07/03,2024-07-07,3897,Cancelled
PO5181,SKU150,FreshSource Ltd,2024/01/26,2024-02-14,834,Delivered
PO5182,SKU144,Prime Wholesale,2023/10/11,2023-10-26,299,Delivered
PO5183,SKU103,Prime Wholesale,2023/07/06,2023-07-22,1562,Cancelled
PO5184,Milk 500ml,Om Distributors,2023/01/13,2023-01-25,3512,Cancelled
PO5185,SKU156,ABC Traders,2022/10/03,2022-10-20,4135,Pending
PO5186,Detergent 1kg,ABC Traders,2022/04/04,2022-04-29,4800,Cancelled
PO5187,SKU119,FreshSource Ltd,2023/03/01,2023-03-26,2715,Delayed
PO5188,SKU112,FreshSource Ltd,2022/10/31,2022-11-22,3017,Cancelled
PO5189,Biscuits 100g,Prime Wholesale,2024/07/09,2024-08-08,3580,In Transit
PO5190,SKU135,Om Distributors,2024/02/03,2024-03-02,2617,Cancelled
PO5191,Sunflower Oil 2L,Global Supplies,2022/11/05,2022-11-14,561,Cancelled
PO5192,SKU102,Prime Wholesale,2024/07/23,2024-08-20,2431,Delayed
PO5193,Milk 500ml,Om Distributors,2024/06/07,,4903,Delivered
PO5194,Peanut Butter Crunchy 1kg,Global Supplies,2023/03/12,2023-03-24,3268,Delayed
PO5195,Biscuits 500g,Om Distributors,2022/03/11,2022-03-31,2913,Delayed
PO5196,SKU155,ABC Traders,2022/10/18,2022-11-08,4120,Delayed
PO5197,SKU113,FreshSource Ltd,2024/09/22,2024-09-30,952,Pending
PO5198,SKU136,Prime Wholesale,2022/06/18,,1442,Cancelled
PO5199,Milk 500ml,Om Distributors,2023/06/24,2023-07-24,693,In Transit
PO5200,Milk 1L,Global Supplies,2022/03/22,2022-04-21,3830,Pending
PO5201,Tea 500g,Global Supplies,2022/05/03,,2618,Delivered
PO5202,Sunflower Oil 5L,ABC Traders,2023/11/28,,800,Delivered
PO5203,Sunflower Oil 2L,Prime Wholesale,2024/06/01,2024-06-21,4930,Delivered
PO5204,Detergent 1kg,Prime Wholesale,2023/06/15,2023-07-07,3059,In Transit
PO5205,Sunflower Oil 1L,ABC Traders,2022/08/11,,1681,Delivered
PO5206,SKU147,ABC Traders,2024/01/23,2024-02-06,1681,Pending
PO5207,SKU131,Prime Wholesale,2023/04/14,2023-05-11,732,Pending
PO5208,SKU103,FreshSource Ltd,2023/10/05,2023-10-27,2549,Delayed
PO5209,Milk 500ml,FreshSource Ltd,2022/09/17,2022-10-01,1638,Delivered
PO5210,SKU125,ABC Traders,2022/04/03,2022-04-23,1037,Pending
PO5211,SKU101,Om Distributors,2024/09/23,2024-10-10,3052,Pending
PO5212,Detergent 2kg,ABC Traders,2024/07/19,2024-08-01,4465,Delivered
PO5213,SKU105,Global Supplies,2023/03/22,,832,Delivered
PO5214,Biscuits 100g,Om Distributors,2023/01/03,2023-01-06,563,In Transit
PO5215,SKU140,FreshSource Ltd,2022/02/11,2022-02-18,3857,Cancelled
PO5216,SKU138,FreshSource Ltd,2022/05/27,,1235,Delayed
PO5217,SKU159,Prime Wholesale,2024/08/19,2024-09-18,3177,Cancelled
PO5218,Biscuits 200g,Prime Wholesale,2022/02/11,,3988,Delayed
PO5219,SKU146,Prime Wholesale,2023/07/18,,4033,In Transit
PO5220,Detergent 1kg,Prime Wholesale,2023/09/29,2023-10-24,2560,Delivered
PO5221,Milk 500ml,FreshSource Ltd,2024/01/06,2024-01-31,3485,In Transit
PO5222,Milk 1L,Om Distributors,2024/05/31,2024-06-16,4750,Delayed
PO5223,SKU138,Om Distributors,2022/12/29,2023-01-18,4377,Delayed
PO5224,Tea 250g,Global Supplies,2023/07/12,2023-07-17,455,Delayed
PO5225,Milk 1L,Global Supplies,2024/06/25,2024-07-13,3467,Delivered
PO5226,SKU104,Global Supplies,2022/07/04,2022-07-30,3018,Pending
PO5227,SKU152,Prime Wholesale,2022/09/29,,2051,Delivered
PO5228,SKU146,ABC Traders,2023/12/04,2024-01-03,1096,In Transit
PO5229,Sunflower Oil 5L,Om Distributors,2024/02/06,,2273,In Transit
PO5230,Biscuits 500g,FreshSource Ltd,2023/10/23,,4021,Cancelled
PO5231,SKU116,Prime Wholesale,2023/07/10,,1018,Cancelled
PO5232,Peanut Butter Smooth 200g,ABC Traders,2022/12/02,2022-12-16,951,Cancelled
PO5233,SKU142,Global Supplies,2023/04/25,,3025,In Transit
PO5234,Sunflower Oil 2L,ABC Traders,2023/03/25,,1332,Delivered
PO5235,Milk 500ml,Om Distributors,2022/04/21,2022-05-11,1579,Pending
PO5236,SKU129,FreshSource Ltd,2023/07/14,2023-08-04,529,Delivered
PO5237,SKU115,FreshSource Ltd,2022/11/28,2022-12-25,996,In Transit
PO5238,SKU132,FreshSource Ltd,2022/05/08,2022-05-11,2034,Pending
PO5239,SKU152,FreshSource Ltd,2022/09/16,2022-09-23,3385,Delivered
PO5240,SKU133,Om Distributors,2022/04/11,2022-05-11,217,Pending
PO5241,SKU113,Prime Wholesale,2022/11/22,,2416,Delivered
PO5242,Coffee 200g,ABC Traders,2023/01/19,,1969,Pending
PO5243,SKU151,Om Distributors,2022/09/14,,3045,Pending
PO5244,SKU157,Prime Wholesale,2023/12/25,2024-01-03,2809,In Transit
PO5245,SKU130,ABC Traders,2022/10/09,2022-10-19,855,Cancelled
PO5246,SKU109,ABC Traders,2023/09/09,2023-09-26,1661,Delivered
PO5247,SKU149,Prime Wholesale,2023/11/08,2023-11-15,4745,Cancelled
PO5248,SKU120,ABC Traders,2023/07/21,,317,Delivered
PO5249,SKU133,Prime Wholesale,2024/02/08,2024-02-17,1722,Delayed
PO5250,SKU124,ABC Traders,2024/07/27,2024-08-17,3916,Delivered
PO5251,SKU139,Global Supplies,2022/12/12,2022-12-19,3393,In Transit
PO5252,SKU141,ABC Traders,2022/10/18,2022-11-01,4339,In Transit
PO5253,SKU121,Global Supplies,2024/07/01,,4269,Delayed
PO5254,SKU101,Global Supplies,2023/05/25,,2698,Cancelled
PO5255,Peanut Butter Crunchy 1kg,Global Supplies,2024/09/13,2024-10-05,2627,Pending
PO5256,SKU113,ABC Traders,2023/11/10,2023-11-14,4686,Pending
PO5257,SKU120,FreshSource Ltd,2022/12/03,2022-12-12,4735,Cancelled
PO5258,Detergent 2kg,Om Distributors,2022/11/30,2022-12-29,4722,In Transit
PO5259,SKU101,Prime Wholesale,2022/12/23,2023-01-08,2549,Cancelled
PO5260,SKU117,ABC Traders,2022/02/10,2022-03-03,3710,Delivered
PO5261,SKU129,ABC Traders,2023/07/24,2023-07-27,2858,Delivered
PO5262,SKU157,Om Distributors,2022/08/08,2022-09-04,3605,Delayed
PO5263,SKU124,ABC Traders,2024/07/09,2024-07-20,2450,Delayed
PO5264,Sunflower Oil 5L,Global Supplies,2023/06/12,,2120,Cancelled
PO5265,SKU122,Om Distributors,2024/01/26,,1684,In Transit
PO5266,Biscuits 100g,ABC Traders,2022/06/08,2022-06-14,4348,Delivered
PO5267,SKU129,FreshSource Ltd,2023/12/24,2024-01-21,3124,Pending
PO5268,Detergent 2kg,Om Distributors,2023/03/11,,436,Cancelled
PO5269,SKU108,Global Supplies,2023/03/22,,1576,Cancelled
PO5270,SKU149,Prime Wholesale,2023/06/12,2023-06-25,4024,Delayed
PO5271,Milk 500ml,Global Supplies,2023/09/20,2023-09-24,2908,In Transit
PO5272,Sunflower Oil 1L,ABC Traders,2024/07/12,2024-08-06,4901,Delivered
PO5273,Peanut Butter Crunchy 200g,Global Supplies,2023/08/15,2023-08-19,3756,Cancelled
PO5274,SKU141,Prime Wholesale,2023/02/11,,3338,Pending
PO5275,Tea 500g,Prime Wholesale,2022/10/19,2022-11-04,1553,Delayed
PO5276,SKU144,Global Supplies,2022/09/18,2022-10-09,791,Cancelled
PO5277,SKU123,FreshSource Ltd,2024/08/21,,2550,Delayed
PO5278,Coffee 200g,FreshSource Ltd,2023/12/31,2024-01-15,288,In Transit
PO5279,SKU103,ABC Traders,2024/02/01,,1415,Delayed
PO5280,Detergent 500g,Om Distributors,2022/03/07,2022-03-11,819,Cancelled
PO5281,SKU117,Om Distributors,2022/08/01,2022-08-27,4124,Delayed
PO5282,SKU112,FreshSource Ltd,2022/09/15,2022-09-24,2611,Cancelled
PO5283,Peanut Butter Crunchy 1kg,Prime Wholesale,2024/01/05,2024-01-18,1902,Delivered
PO5284,SKU120,ABC Traders,2022/02/07,2022-02-23,4645,Delayed
PO5285,Biscuits 500g,FreshSource Ltd,2024/04/07,2024-04-30,3621,In Transit
PO5286,SKU112,Om Distributors,2023/11/15,2023-12-07,2573,Delayed
PO5287,SKU134,Prime Wholesale,2022/11/20,,4377,In Transit
PO5288,SKU142,ABC Traders,2023/03/03,2023-03-12,3904,Delayed
PO5289,Coffee 200g,Prime Wholesale,2022/06/10,2022-06-16,4876,Delayed
PO5290,Biscuits 100g,FreshSource Ltd,2023/02/21,,4522,In Transit
PO5291,Biscuits 500g,FreshSource Ltd,2024/04/26,2024-05-22,2740,Cancelled
PO5292,Detergent 500g,Prime Wholesale,2024/07/04,2024-07-07,4223,Delayed
PO5293,SKU126,ABC Traders,2022/11/15,,4579,In Transit
PO5294,SKU135,Prime Wholesale,2023/10/03,,746,Cancelled
PO5295,Coffee 200g,ABC Traders,2023/09/17,,1070,Pending
PO5296,SKU126,Global Supplies,2023/08/09,2023-08-12,1976,Pending
PO5297,Biscuits 100g,Om Distributors,2022/11/29,,1331,In Transit
PO5298,SKU135,Global Supplies,2023/08/20,2023-09-15,3417,Delayed
PO5299,Detergent 500g,Om Distributors,2023/09/13,2023-09-27,1430,Pending
PO5300,SKU104,Prime Wholesale,2024/01/10,2024-01-19,4065,Delivered
PO5301,Sunflower Oil 2L,Om Distributors,2022/08/17,2022-08-20,2848,Cancelled
PO5302,SKU136,FreshSource Ltd,2022/01/28,2022-02-21,1596,Delayed
PO5303,SKU140,FreshSource Ltd,2022/10/19,2022-11-17,1037,Cancelled
PO5304,SKU144,ABC Traders,2022/05/11,2022-05-31,4421,Pending
PO5305,Milk 1L,Om Distributors,2023/03/27,2023-03-31,1339,Pending
PO5306,Peanut Butter Crunchy 1kg,Om Distributors,2022/11/19,2022-12-12,3789,Pending
PO5307,Detergent 500g,ABC Traders,2024/04/23,2024-04-30,2577,Cancelled
PO5308,SKU156,Prime Wholesale,2023/09/11,2023-10-02,1362,Pending
PO5309,SKU147,Om Distributors,2023/01/07,,1546,Pending
PO5310,Tea 500g,Global Supplies,2022/01/29,2022-02-07,1447,Cancelled
PO5311,Sunflower Oil 2L,ABC Traders,2024/08/07,2024-08-12,3259,Cancelled
PO5312,SKU105,Prime Wholesale,2024/09/08,,933,Pending
PO5313,SKU147,Global Supplies,2024/06/10,2024-07-05,2542,Delayed
PO5314,Milk 500ml,ABC Traders,2023/11/08,2023-12-03,455,Pending
PO5315,SKU105,ABC Traders,2022/11/08,,3288,Delivered
PO5316,SKU113,Global Supplies,2024/05/06,2024-05-16,919,In Transit
PO5317,SKU143,FreshSource Ltd,2022/03/02,2022-03-24,1086,Delivered
PO5318,Peanut Butter Smooth 200g,Om Distributors,2022/09/25,2022-10-19,1190,Delayed
PO5319,Sunflower Oil 5L,ABC Traders,2022/08/26,2022-09-01,2934,Pending
PO5320,SKU143,Prime Wholesale,2023/02/09,2023-03-10,1556,Pending
PO5321,Sunflower Oil 5L,Om Distributors,2023/03/24,2023-04-21,2046,Delivered
PO5322,SKU113,Prime Wholesale,2023/03/19,2023-04-18,1753,Pending
PO5323,Peanut Butter Crunchy 1kg,ABC Traders,2024/01/12,,303,Cancelled
PO5324,SKU102,Om Distributors,2022/01/05,2022-01-12,4478,In Transit
PO5325,SKU142,ABC Traders,2022/02/09,2022-02-13,3873,Delayed
PO5326,Milk 500ml,Om Distributors,2022/12/28,2023-01-20,2497,Pending
PO5327,SKU102,ABC Traders,2024/05/22,,2305,Cancelled
PO5328,Sunflower Oil 5L,Global Supplies,2024/05/14,2024-06-05,2066,Delivered
PO5329,Biscuits 200g,Global Supplies,2022/02/08,,2200,Delivered
PO5330,SKU127,ABC Traders,2022/01/17,,1729,Pending
PO5331,SKU139,FreshSource Ltd,2023/11/11,2023-12-03,2037,Delivered
PO5332,SKU123,Prime Wholesale,2022/09/16,2022-10-11,3089,Delivered
PO5333,SKU139,ABC Traders,2022/05/24,,229,Cancelled
PO5334,SKU118,Om Distributors,2024/01/17,2024-01-24,2943,Delivered
PO5335,Biscuits 200g,ABC Traders,2023/01/12,2023-01-20,4896,Pending
PO5336,SKU121,ABC Traders,2022/05/05,2022-06-03,4205,Pending
PO5337,Biscuits 500g,ABC Traders,2022/09/07,2022-09-27,864,Delivered
PO5338,SKU128,ABC Traders,2022/08/30,2022-09-28,737,Cancelled
PO5339,SKU111,Prime Wholesale,2023/12/30,2024-01-28,2744,In Transit
PO5340,SKU159,FreshSource Ltd,2022/09/20,2022-10-13,1431,In Transit
PO5341,Sunflower Oil 2L,Prime Wholesale,2024/02/26,2024-03-14,3225,Pending
PO5342,SKU141,ABC Traders,2022/09/10,2022-09-16,2227,Delayed
PO5343,SKU133,ABC Traders,2023/12/02,2023-12-07,719,Cancelled
PO5344,SKU147,ABC Traders,2023/04/27,2023-05-16,1119,Pending
PO5345,SKU149,Om Distributors,2022/09/22,2022-09-30,911,Delayed
PO5346,Detergent 500g,Om Distributors,2022/02/01,,1028,Delivered
