OrderID,OrderDate,CustomerID,ProductID,SalesRepID,Quantity,UnitPrice,DiscountPercent,Region,Channel
SO000037,2025-04-14,CUST0163,SKU0074,EMP0047,134,732.88,7,South,Modern Trade
SO000038,2025-12-17,CUST0166,SKU0009,EMP0051,108,466.72,2,North,Modern Trade
SO000039,2025-11-07,CUST0368,SKU0002,EMP0041,25,150.16,2,North,Wholesale
SO000040,2025-09-01,CUST0424,SKU0029,EMP0057,158,461.59,7,South,Modern Trade
SO000041,2025-01-20,CUST0014,SKU0084,EMP0029,137,21.14,7,West,Modern Trade
SO000042,2025-03-02,CUST0144,SKU0037,EMP0093,24,80.79,5,North,General Trade
SO000043,2025-12-04,CUST0023,SKU0063,EMP0002,34,62.92,7,East,General Trade
SO000044,2025-10-04,CUST0381,SKU0011,EMP0089,1,190.46,10,South,Wholesale
SO000045,2025-11-29,CUST0332,SKU0071,EMP0004,111,583.77,7,North,General Trade
SO000046,2025-08-04,CUST0328,SKU0097,EMP0047,95,187.72,0,South,Modern Trade
SO000047,2025-12-24,CUST0248,SKU0017,EMP0095,136,151.33,5,South,Wholesale
SO000048,2025-04-28,CUST0411,SKU0109,EMP0071,124,728.48,5,West,Modern Trade
SO000049,2025-06-29,CUST0307,SKU0085,EMP0082,151,180.05,10,South,Wholesale
SO000050,2025-12-23,CUST0210,SKU0041,EMP0028,148,318.52,0,North,Modern Trade
SO000051,2025-08-06,CUST0329,SKU0030,EMP0080,35,97.67,3,East,Wholesale
SO000052,2025-09-02,CUST0354,SKU0096,EMP0005,197,142.94,2,East,General Trade
SO000053,2025-02-12,CUST0275,SKU0050,EMP0082,73,62.56,7,South,General Trade
SO000054,2025-10-06,CUST0357,SKU0080,EMP0033,105,631.92,3,North,Wholesale
SO000055,2025-04-07,CUST0007,SKU0054,EMP0040,2,552.69,10,North,Modern Trade
SO000056,2025-01-04,CUST0324,SKU0103,EMP0018,148,662.47,7,East,Modern Trade
SO000057,2025-03-02,CUST0173,SKU0030,EMP0053,134,97.67,0,North,Wholesale
SO000058,2025-07-12,CUST0392,SKU0117,EMP0029,168,793.39,2,West,Wholesale
SO000059,2025-12-19,CUST0070,SKU0114,EMP0006,81,576.43,5,South,General Trade
SO000060,2025-07-05,CUST0335,SKU0025,EMP0038,28,275.29,2,East,Modern Trade
SO000061,2025-08-07,CUST0327,SKU0092,EMP0032,167,373.15,7,South,General Trade
SO000062,2025-05-10,CUST0396,SKU0070,EMP0019,67,306.8,7,West,General Trade
SO000063,2025-08-05,CUST0045,SKU0102,EMP0080,145,68.1,3,East,Modern Trade
SO000064,2025-11-10,CUST0145,SKU0019,EMP0089,71,770.96,10,South,Modern Trade
SO000065,2025-07-23,CUST0336,SKU0095,EMP0085,194,181.96,2,West,Modern Trade
SO000066,2025-07-31,CUST0042,SKU0045,EMP0035,142,606.91,7,North,General Trade
SO000067,2025-09-05,CUST0468,SKU0074,EMP0090,46,732.88,3,West,General Trade
SO000068,2025-10-14,CUST0170,SKU0064,EMP0086,143,29.88,5,West,General Trade
SO000069,2025-05-10,CUST0466,SKU0034,EMP0067,79,84.29,7,West,Modern Trade
SO000070,2025-06-26,CUST0230,SKU0052,EMP0018,199,713.21,10,East,Wholesale
SO000071,2025-07-23,CUST0040,SKU0105,EMP0058,189,174.25,2,South,General Trade
SO000072,2025-12-04,CUST0472,SKU0019,EMP0069,31,770.96,10,East,Wholesale
SO000073,2025-04-28,CUST0199,SKU0044,EMP0039,115,555.52,10,East,Wholesale
SO000074,2025-03-24,CUST0179,SKU0014,EMP0050,26,652.35,2,East,General Trade
SO000075,2025-09-18,CUST0147,SKU0020,EMP0048,103,531.6,3,North,General Trade
SO000076,2025-10-09,CUST0017,SKU0107,EMP0056,158,59.5,10,West,Wholesale
SO000077,2025-12-17,CUST0313,SKU0055,EMP0045,181,72.68,0,East,Modern Trade
SO000078,2025-03-24,CUST0226,SKU0017,EMP0069,100,151.33,10,East,General Trade
SO000079,2025-01-03,CUST0034,SKU0055,EMP0030,24,72.68,2,North,General Trade
SO000080,2025-08-30,CUST0011,SKU0066,EMP0012,154,310.06,5,South,General Trade
SO000081,2025-02-15,CUST0010,SKU0111,EMP0046,17,341.35,3,North,General Trade
SO000082,2025-04-24,CUST0125,SKU0040,EMP0028,95,648.65,0,North,General Trade
SO000083,2025-11-08,CUST0092,SKU0026,EMP0084,10,538.03,10,West,General Trade
SO000084,2025-07-16,CUST0216,SKU0089,EMP0014,103,414.23,7,East,Modern Trade
SO000085,2025-12-02,CUST0318,SKU0091,EMP0084,134,223.57,3,West,General Trade
SO000086,2025-12-31,CUST0417,SKU0046,EMP0075,153,265.31,0,West,General Trade
SO000087,2025-03-31,CUST0156,SKU0086,EMP0086,164,778.6,5,West,Wholesale
SO000088,2025-08-13,CUST0312,SKU0047,EMP0098,3,451.65,2,West,General Trade
SO000089,2025-12-03,CUST0037,SKU0049,EMP0092,133,423.84,3,South,Modern Trade
SO000090,2025-04-10,CUST0491,SKU0077,EMP0060,9,194.08,7,West,Wholesale
SO000091,2025-09-19,CUST0406,SKU0002,EMP0054,133,150.16,10,East,Modern Trade
SO000092,2025-04-29,CUST0060,SKU0070,EMP0029,158,306.8,2,West,Modern Trade
SO000093,2025-12-12,CUST0071,SKU0050,EMP0077,10,62.56,3,South,General Trade
SO000094,2025-05-03,CUST0446,SKU0003,EMP0026,168,371.78,0,South,General Trade
SO000095,2025-03-22,CUST0127,SKU0082,EMP0039,23,640.86,3,East,Modern Trade
SO000096,2025-07-24,CUST0198,SKU0049,EMP0014,91,423.84,10,East,General Trade
SO000097,2025-07-22,CUST0188,SKU0062,EMP0039,104,87.25,7,East,General Trade
SO000098,2025-04-13,CUST0486,SKU0102,EMP0096,133,68.1,0,East,Modern Trade
SO000099,2025-12-27,CUST0378,SKU0097,EMP0021,18,187.72,0,South,General Trade
SO000100,2025-10-09,CUST0404,SKU0012,EMP0058,73,702.35,10,South,Wholesale
SO000101,2025-10-14,CUST0356,SKU0092,EMP0080,150,373.15,3,East,Modern Trade
SO000102,2025-06-27,CUST0204,SKU0110,EMP0066,71,499.0,2,North,Wholesale
SO000103,2025-11-07,CUST0196,SKU0079,EMP0031,50,451.41,5,East,General Trade
SO000104,2025-07-26,CUST0455,SKU0062,EMP0008,148,87.25,0,South,Modern Trade
SO000105,2025-05-14,CUST0386,SKU0029,EMP0029,45,461.59,5,West,Modern Trade
SO000106,2025-09-17,CUST0390,SKU0097,EMP0030,28,187.72,7,North,Wholesale
SO000107,2025-02-07,CUST0077,SKU0096,EMP0092,129,142.94,3,South,Modern Trade
SO000108,2025-06-24,CUST0232,SKU0066,EMP0050,30,310.06,7,East,General Trade
SO000109,2025-05-12,CUST0357,SKU0048,EMP0028,138,754.2,7,North,Wholesale
SO000110,2025-05-09,CUST0420,SKU0118,EMP0026,178,98.1,5,South,Modern Trade
SO000111,2025-07-13,CUST0221,SKU0078,EMP0090,145,704.05,5,West,General Trade
SO000112,2025-05-05,CUST0255,SKU0054,EMP0019,194,552.69,3,West,Wholesale
SO000113,2025-08-23,CUST0223,SKU0026,EMP0052,175,538.03,5,West,Modern Trade
SO000114,2025-10-28,CUST0130,SKU0058,EMP0010,8,500.52,5,South,Wholesale
SO000115,2025-03-01,CUST0163,SKU0049,EMP0026,67,423.84,0,South,Modern Trade
SO000116,2025-07-15,CUST0166,SKU0060,EMP0030,163,324.77,2,North,Modern Trade
SO000117,2025-12-13,CUST0379,SKU0047,EMP0040,180,451.65,2,North,General Trade
SO000118,2025-06-11,CUST0487,SKU0051,EMP0055,106,107.94,3,West,General Trade
SO000119,2025-09-22,CUST0222,SKU0061,EMP0019,138,564.97,0,West,Modern Trade
SO000120,2025-12-25,CUST0181,SKU0069,EMP0034,68,375.05,2,South,General Trade
SO000121,2025-05-28,CUST0127,SKU0098,EMP0003,24,213.61,5,East,Modern Trade
SO000122,2025-12-11,CUST0476,SKU0031,EMP0083,192,744.96,3,West,Wholesale
SO000123,2025-02-08,CUST0190,SKU0008,EMP0049,142,599.16,2,East,Wholesale
SO000124,2025-09-01,CUST0028,SKU0021,EMP0095,81,574.89,3,South,General Trade
SO000125,2025-04-22,CUST0250,SKU0117,EMP0093,147,793.39,3,North,Modern Trade
SO000126,2025-04-04,CUST0345,SKU0071,EMP0081,192,583.77,10,West,Wholesale
SO000127,2025-04-08,CUST0046,SKU0016,EMP0089,128,66.3,10,South,General Trade
SO000128,2025-04-13,CUST0429,SKU0030,EMP0018,61,97.67,10,East,General Trade
SO000129,2025-05-04,CUST0486,SKU0018,EMP0031,68,228.53,2,East,Modern Trade
SO000130,2025-04-28,CUST0020,SKU0034,EMP0041,52,84.29,2,North,General Trade
SO000131,2025-11-13,CUST0186,SKU0098,EMP0067,92,213.61,2,West,Modern Trade
SO000132,2025-02-24,CUST0362,SKU0110,EMP0079,31,499.0,0,North,Wholesale
SO000133,2025-12-13,CUST0335,SKU0077,EMP0005,170,194.08,5,East,Modern Trade
SO000134,2025-11-11,CUST0054,SKU0097,EMP0040,2,187.72,7,North,Wholesale
SO000135,2025-01-22,CUST0284,SKU0017,EMP0011,124,151.33,3,West,General Trade
SO000136,2025-11-14,CUST0376,SKU0120,EMP0058,81,786.48,5,South,Modern Trade
SO000137,2025-10-22,CUST0053,SKU0068,EMP0063,71,69.82,5,North,General Trade
SO000138,2025-04-04,CUST0312,SKU0099,EMP0007,196,253.1,7,West,General Trade
SO000139,2025-05-24,CUST0342,SKU0049,EMP0029,102,423.84,2,West,Wholesale
SO000140,2025-10-23,CUST0087,SKU0084,EMP0055,33,21.14,0,West,Modern Trade
SO000141,2025-09-27,CUST0118,SKU0022,EMP0062,109,130.89,5,East,Wholesale
SO000142,2025-10-04,CUST0438,SKU0032,EMP0067,9,177.81,7,West,Wholesale
SO000143,2025-06-27,CUST0070,SKU0068,EMP0006,101,69.82,10,South,General Trade
SO000144,2025-03-31,CUST0380,SKU0086,EMP0045,118,778.6,0,East,Modern Trade
SO000145,2025-12-24,CUST0373,SKU0068,EMP0078,133,69.82,5,North,Wholesale
SO000146,2025-06-11,CUST0262,SKU0069,EMP0097,177,375.05,0,North,Modern Trade
SO000147,2025-01-07,CUST0208,SKU0080,EMP0036,173,631.92,2,East,General Trade
SO000148,2025-07-14,CUST0347,SKU0032,EMP0029,149,177.81,0,West,Modern Trade
SO000149,2025-06-16,CUST0346,SKU0008,EMP0088,93,599.16,7,North,General Trade
SO000150,2025-05-13,CUST0393,SKU0008,EMP0057,48,599.16,7,South,Wholesale
SO000151,2025-05-15,CUST0078,SKU0010,EMP0037,61,661.64,3,North,Wholesale
SO000152,2025-08-30,CUST0009,SKU0043,EMP0088,157,293.93,3,North,Wholesale
SO000153,2025-07-07,CUST0084,SKU0034,EMP0008,48,84.29,5,South,Wholesale
SO000154,2025-08-06,CUST0377,SKU0032,EMP0094,54,177.81,5,South,Wholesale
SO000155,2025-12-25,CUST0481,SKU0043,EMP0011,193,293.93,3,West,Modern Trade
SO000156,2025-07-06,CUST0263,SKU0084,EMP0077,103,21.14,3,South,General Trade
SO000157,2025-08-19,CUST0449,SKU0078,EMP0028,47,704.05,7,North,General Trade
SO000158,2025-03-09,CUST0263,SKU0074,EMP0006,148,732.88,10,South,General Trade
SO000159,2025-04-28,CUST0196,SKU0059,EMP0065,26,738.32,10,East,General Trade
SO000160,2025-05-19,CUST0205,SKU0020,EMP0021,61,531.6,7,South,Modern Trade
SO000161,2025-08-10,CUST0424,SKU0107,EMP0010,98,59.5,2,South,Modern Trade
SO000162,2025-03-16,CUST0494,SKU0067,EMP0093,190,721.92,2,North,Wholesale
SO000163,2025-08-31,CUST0196,SKU0110,EMP0013,3,499.0,2,East,General Trade
SO000164,2025-08-04,CUST0420,SKU0075,EMP0021,128,213.65,2,South,Modern Trade
SO000165,2025-11-19,CUST0190,SKU0012,EMP0072,133,702.35,7,East,Wholesale
SO000166,2025-06-11,CUST0177,SKU0059,EMP0031,125,738.32,3,East,General Trade
SO000167,2025-05-09,CUST0008,SKU0101,EMP0035,144,380.39,7,North,Wholesale
SO000168,2025-01-25,CUST0104,SKU0028,EMP0046,102,271.83,0,North,General Trade
SO000169,2025-12-20,CUST0358,SKU0066,EMP0041,42,310.06,0,North,Wholesale
SO000170,2025-04-21,CUST0313,SKU0052,EMP0017,66,713.21,5,East,Modern Trade
SO000171,2025-11-19,CUST0388,SKU0056,EMP0054,25,330.42,5,East,Wholesale
SO000172,2025-06-21,CUST0404,SKU0100,EMP0026,67,686.59,3,South,Wholesale
SO000173,2025-07-04,CUST0383,SKU0054,EMP0079,144,552.69,7,North,Wholesale
SO000174,2025-05-12,CUST0297,SKU0023,EMP0026,89,372.55,0,South,Wholesale
SO000175,2025-07-30,CUST0264,SKU0052,EMP0024,32,713.21,3,South,Modern Trade
SO000176,2025-12-14,CUST0207,SKU0050,EMP0053,156,62.56,2,North,Wholesale
SO000177,2025-10-23,CUST0345,SKU0051,EMP0083,148,107.94,10,West,Wholesale
SO000178,2025-11-29,CUST0385,SKU0086,EMP0005,138,778.6,2,East,General Trade
SO000179,2025-05-26,CUST0128,SKU0037,EMP0084,91,80.79,3,West,Modern Trade
SO000180,2025-12-11,CUST0290,SKU0027,EMP0004,131,189.91,5,North,General Trade
SO000181,2025-08-17,CUST0291,SKU0012,EMP0041,21,702.35,5,North,Modern Trade
SO000182,2025-11-11,CUST0404,SKU0111,EMP0091,74,341.35,5,South,Wholesale
SO000183,2025-11-20,CUST0160,SKU0004,EMP0008,38,126.5,2,South,Modern Trade
SO000184,2025-11-24,CUST0063,SKU0043,EMP0051,87,293.93,5,North,General Trade
SO000185,2025-11-20,CUST0424,SKU0101,EMP0077,157,380.39,7,South,Modern Trade
SO000186,2025-07-27,CUST0416,SKU0010,EMP0080,19,661.64,0,East,Wholesale
SO000187,2025-03-24,CUST0139,SKU0070,EMP0060,88,306.8,2,West,Modern Trade
SO000188,2025-06-10,CUST0446,SKU0118,EMP0077,82,98.1,10,South,General Trade
SO000189,2025-05-30,CUST0320,SKU0110,EMP0088,182,499.0,3,North,Wholesale
SO000190,2025-11-06,CUST0242,SKU0044,EMP0028,166,555.52,5,North,General Trade
SO000191,2025-05-19,CUST0022,SKU0104,EMP0050,114,477.17,3,East,Wholesale
SO000192,2025-10-28,CUST0381,SKU0065,EMP0094,134,763.35,5,South,Wholesale
SO000193,2025-07-31,CUST0020,SKU0046,EMP0037,43,265.31,2,North,General Trade
SO000194,2025-01-12,CUST0374,SKU0019,EMP0041,33,770.96,10,North,Modern Trade
SO000195,2025-05-01,CUST0329,SKU0071,EMP0039,170,583.77,3,East,Wholesale
SO000196,2025-12-25,CUST0049,SKU0041,EMP0066,192,318.52,0,North,Wholesale
SO000197,2025-04-18,CUST0086,SKU0087,EMP0008,43,738.59,5,South,General Trade
SO000198,2025-02-22,CUST0005,SKU0090,EMP0064,25,462.9,0,West,Wholesale
SO000199,2025-08-31,CUST0169,SKU0113,EMP0090,141,511.99,0,West,Modern Trade
SO000200,2025-01-14,CUST0452,SKU0037,EMP0093,198,80.79,5,North,Wholesale
SO000201,2025-09-26,CUST0373,SKU0065,EMP0063,196,763.35,0,North,Wholesale
SO000202,2025-02-23,CUST0018,SKU0006,EMP0034,68,150.46,7,South,Wholesale
SO000203,2025-03-21,CUST0014,SKU0047,EMP0052,22,451.65,10,West,Modern Trade
SO000204,2025-07-19,CUST0244,SKU0003,EMP0095,80,371.78,2,South,General Trade
SO000205,2025-05-07,CUST0353,SKU0084,EMP0055,189,21.14,3,West,General Trade
SO000206,2025-08-15,CUST0255,SKU0117,EMP0056,161,793.39,2,West,Wholesale
SO000207,2025-03-09,CUST0172,SKU0082,EMP0016,135,640.86,2,South,Wholesale
SO000208,2025-01-15,CUST0290,SKU0119,EMP0070,9,637.17,10,North,General Trade
SO000209,2025-07-02,CUST0392,SKU0063,EMP0076,84,62.92,5,West,Wholesale
SO000210,2025-08-28,CUST0471,SKU0082,EMP0012,139,640.86,3,South,Modern Trade
SO000211,2025-10-08,CUST0044,SKU0062,EMP0011,114,87.25,2,West,General Trade
SO000212,2025-12-24,CUST0222,SKU0040,EMP0084,139,648.65,2,West,Modern Trade
SO000213,2025-10-30,CUST0147,SKU0072,EMP0037,153,689.78,5,North,General Trade
SO000214,2025-11-20,CUST0250,SKU0044,EMP0009,192,555.52,10,North,Modern Trade
SO000215,2025-10-16,CUST0194,SKU0095,EMP0006,112,181.96,7,South,Modern Trade
SO000216,2025-11-24,CUST0027,SKU0051,EMP0014,164,107.94,7,East,Modern Trade
SO000217,2025-06-08,CUST0486,SKU0064,EMP0013,89,29.88,5,East,Modern Trade
SO000218,2025-10-04,CUST0457,SKU0040,EMP0088,59,648.65,0,North,Modern Trade
SO000219,2025-08-15,CUST0117,SKU0037,EMP0005,79,80.79,3,East,Wholesale
SO000220,2025-07-31,CUST0440,SKU0024,EMP0013,67,604.85,2,East,General Trade
SO000221,2025-06-05,CUST0029,SKU0092,EMP0029,3,373.15,0,West,General Trade
SO000222,2025-09-25,CUST0080,SKU0040,EMP0026,195,648.65,2,South,Modern Trade
SO000223,2025-06-26,CUST0264,SKU0107,EMP0034,74,59.5,5,South,Modern Trade
SO000224,2025-10-01,CUST0171,SKU0047,EMP0064,3,451.65,10,West,Modern Trade
SO000225,2025-09-09,CUST0109,SKU0092,EMP0032,194,373.15,5,South,General Trade
SO000226,2025-06-03,CUST0308,SKU0021,EMP0099,3,574.89,5,East,Wholesale
SO000227,2025-05-30,CUST0025,SKU0062,EMP0030,153,87.25,2,North,Wholesale
SO000228,2025-01-04,CUST0141,SKU0095,EMP0010,141,181.96,3,South,Wholesale
SO000229,2025-04-07,CUST0137,SKU0083,EMP0058,106,442.41,7,South,General Trade
SO000230,2025-08-12,CUST0148,SKU0038,EMP0018,102,26.29,2,East,Modern Trade
SO000231,2025-03-25,CUST0232,SKU0102,EMP0020,184,68.1,10,East,General Trade
SO000232,2025-11-27,CUST0089,SKU0024,EMP0022,100,604.85,5,West,General Trade
SO000233,2025-04-23,CUST0197,SKU0065,EMP0035,68,763.35,0,North,Modern Trade
SO000234,2025-08-05,CUST0468,SKU0009,EMP0044,161,466.72,2,West,General Trade
SO000235,2025-09-22,CUST0477,SKU0060,EMP0014,196,324.77,7,East,Wholesale
SO000236,2025-12-22,CUST0294,SKU0046,EMP0059,176,265.31,3,East,General Trade
SO000237,2025-05-26,CUST0299,SKU0004,EMP0086,167,126.5,10,West,Wholesale
SO000238,2025-09-30,CUST0446,SKU0090,EMP0057,69,462.9,5,South,General Trade
SO000239,2025-04-07,CUST0432,SKU0070,EMP0022,18,306.8,2,West,Wholesale
SO000240,2025-03-11,CUST0304,SKU0019,EMP0052,75,770.96,0,West,Modern Trade
SO000241,2025-11-23,CUST0101,SKU0008,EMP0022,117,599.16,7,West,General Trade
SO000242,2025-08-20,CUST0426,SKU0096,EMP0007,70,142.94,10,West,General Trade
SO000243,2025-11-15,CUST0269,SKU0034,EMP0065,126,84.29,2,East,Wholesale
SO000244,2025-06-14,CUST0361,SKU0099,EMP0083,5,253.1,2,West,Wholesale
SO000245,2025-01-26,CUST0422,SKU0108,EMP0074,137,43.0,0,West,Wholesale
SO000246,2025-04-06,CUST0249,SKU0011,EMP0093,27,190.46,3,North,General Trade
SO000247,2025-05-18,CUST0461,SKU0079,EMP0083,33,451.41,10,West,General Trade
SO000248,2025-08-13,CUST0064,SKU0073,EMP0036,187,318.72,0,East,Wholesale
SO000249,2025-04-30,CUST0165,SKU0050,EMP0047,24,62.56,2,South,Modern Trade
SO000250,2025-01-08,CUST0187,SKU0002,EMP0069,127,150.16,2,East,Wholesale
SO000251,2025-06-25,CUST0439,SKU0049,EMP0081,108,423.84,3,West,General Trade
SO000252,2025-09-13,CUST0256,SKU0031,EMP0001,96,744.96,5,South,Modern Trade
SO000253,2025-12-23,CUST0351,SKU0031,EMP0082,9,744.96,3,South,General Trade
SO000254,2025-02-11,CUST0375,SKU0079,EMP0040,193,451.41,2,North,Wholesale
SO000255,2025-01-29,CUST0452,SKU0101,EMP0048,69,380.39,5,North,Wholesale
SO000256,2025-02-06,CUST0212,SKU0109,EMP0036,140,728.48,5,East,General Trade
SO000257,2025-04-03,CUST0301,SKU0120,EMP0030,50,786.48,3,North,Modern Trade
SO000258,2025-07-15,CUST0179,SKU0080,EMP0017,4,631.92,0,East,General Trade
SO000259,2026-01-01,CUST0436,SKU0010,EMP0064,64,661.64,5,West,General Trade
SO000260,2025-08-15,CUST0470,SKU0026,EMP0075,64,538.03,10,West,Wholesale
SO000261,2025-01-18,CUST0089,SKU0081,EMP0087,51,481.52,5,West,General Trade
SO000262,2025-02-18,CUST0219,SKU0098,EMP0006,134,213.61,10,South,Modern Trade
SO000263,2025-04-17,CUST0052,SKU0092,EMP0084,122,373.15,5,West,General Trade
SO000264,2025-12-15,CUST0396,SKU0070,EMP0055,80,306.8,3,West,General Trade
SO000265,2025-03-23,CUST0071,SKU0025,EMP0032,162,275.29,10,South,General Trade
SO000266,2025-01-22,CUST0232,SKU0081,EMP0002,191,481.52,7,East,General Trade
SO000267,2025-09-24,CUST0282,SKU0109,EMP0078,32,728.48,3,North,General Trade
SO000268,2025-09-04,CUST0195,SKU0006,EMP0083,164,150.46,3,West,General Trade
SO000269,2025-04-12,CUST0277,SKU0072,EMP0052,93,689.78,0,West,General Trade
SO000270,2025-12-08,CUST0498,SKU0004,EMP0035,56,126.5,0,North,Wholesale
SO000271,2025-05-01,CUST0476,SKU0099,EMP0083,163,253.1,5,West,Wholesale
SO000272,2025-06-16,CUST0381,SKU0006,EMP0058,4,150.46,2,South,Wholesale
SO000273,2025-05-22,CUST0112,SKU0005,EMP0058,150,406.08,0,South,Modern Trade
SO000274,2025-07-22,CUST0303,SKU0083,EMP0028,63,442.41,0,North,Wholesale
SO000275,2025-01-22,CUST0462,SKU0018,EMP0033,149,228.53,10,North,Wholesale
SO000276,2025-09-01,CUST0482,SKU0042,EMP0061,177,433.8,7,East,General Trade
SO000277,2025-03-21,CUST0079,SKU0014,EMP0099,96,652.35,0,East,Modern Trade
SO000278,2025-05-08,CUST0125,SKU0050,EMP0041,41,62.56,5,North,General Trade
SO000279,2025-02-16,CUST0392,SKU0085,EMP0083,176,180.05,7,West,Wholesale
SO000280,2025-06-23,CUST0075,SKU0097,EMP0044,195,187.72,10,West,Wholesale
SO000281,2025-01-31,CUST0004,SKU0102,EMP0037,16,68.1,3,North,Wholesale
SO000282,2025-11-27,CUST0217,SKU0022,EMP0090,40,130.89,10,West,Modern Trade
SO000283,2025-10-02,CUST0279,SKU0088,EMP0045,28,718.55,2,East,Modern Trade
SO000284,2025-09-07,CUST0357,SKU0002,EMP0079,60,150.16,3,North,Wholesale
SO000285,2025-10-13,CUST0444,SKU0031,EMP0068,166,744.96,3,North,Wholesale
SO000286,2025-08-13,CUST0175,SKU0039,EMP0033,188,123.1,2,North,Modern Trade
SO000287,2025-01-11,CUST0148,SKU0003,EMP0002,177,371.78,5,East,Modern Trade
SO000288,2025-07-03,CUST0418,SKU0093,EMP0018,186,620.71,2,East,Wholesale
SO000289,2025-05-09,CUST0143,SKU0083,EMP0067,11,442.41,5,West,Modern Trade
SO000290,2025-12-28,CUST0367,SKU0028,EMP0069,113,271.83,7,East,Modern Trade
SO000291,2025-05-31,CUST0186,SKU0013,EMP0044,139,657.05,10,West,Modern Trade
SO000292,2025-09-08,CUST0161,SKU0056,EMP0094,49,330.42,7,South,Wholesale
SO000293,2025-04-06,CUST0407,SKU0042,EMP0064,140,433.8,3,West,General Trade
SO000294,2025-06-15,CUST0475,SKU0048,EMP0052,188,754.2,5,West,Wholesale
SO000295,2025-05-21,CUST0221,SKU0007,EMP0056,154,234.39,7,West,General Trade
SO000296,2025-03-24,CUST0177,SKU0109,EMP0038,18,728.48,7,East,General Trade
SO000297,2025-03-21,CUST0032,SKU0111,EMP0052,116,341.35,3,West,General Trade
SO000298,2025-05-15,CUST0292,SKU0003,EMP0058,139,371.78,3,South,Wholesale
SO000299,2025-08-21,CUST0434,SKU0099,EMP0072,1,253.1,10,East,General Trade
SO000300,2025-09-17,CUST0447,SKU0018,EMP0042,98,228.53,10,North,Wholesale
SO000301,2025-04-05,CUST0104,SKU0037,EMP0028,5,80.79,7,North,General Trade
SO000302,2025-07-06,CUST0201,SKU0089,EMP0086,199,414.23,7,West,General Trade
